Sections Found,,,,,,,,,,,,,,,,,,,
MC-Mass Communication,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11532,MC,6110,1,24M,3,Quantitative Research Methods,M,06:00 pm-09:00 pm,16,10,6,0,0,0,Jason B Reineke (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee
NR,12528,MC,6120,1,24M,3,Qualitative Research Methods,T,06:00 pm-09:00 pm,16,9,7,0,0,0,Jennifer Bailey Woodard (P),01/17-05/04,BRAGG 151,Media Entertainment Course Fee
C,16891,MC,6240,1,24M,3,Social Media,R,06:00 pm-09:00 pm,12,13,-1,0,0,0,Robert K Kalwinsky (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee
NR,16419,MC,6260,1,24M,3,Health Care Communication,W,06:00 pm-09:00 pm,12,11,1,0,0,0,Katherine Ann Foss (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee
NR,12190,MC,6400,D01,24M,3,Communication and Technology,,TBA,15,5,10,0,0,0,Sanjay Asthana (P),01/17-05/04,TBA TBA,Distance Learning and Media Entertainment Course Fee and Distance Education Fee-GR
C,17259,MC,6430,1,24M,3,Special Topics in Communication: Global Culture Through Media,T,04:30 pm-07:30 pm,4,3,1,22,22,0,Jan Patrice Quarles (P),01/17-05/04,COE 251,Media Entertainment Course Fee
C,13858,MC,6610,1,24M,3,Directed Reading and Research,,TBA,1,1,0,0,0,0,Katherine Ann Foss (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17637,MC,6610,2,24M,3,Directed Reading and Research,,TBA,1,1,0,0,0,0,Jennifer Bailey Woodard (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,13855,MC,6640,1,24M,1,Thesis Research,,TBA,3,3,0,0,0,0,Katherine Ann Foss (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,13983,MC,6640,2,24M,2,Thesis Research,,TBA,2,2,0,0,0,0,Katherine Ann Foss (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,13859,MC,6640,3,24M,3,Thesis Research,,TBA,1,1,0,0,0,0,Jane Berry Marcellus (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17257,MC,6640,4,24M,2,Thesis Research,,TBA,1,1,0,0,0,0,Jane Berry Marcellus (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17258,MC,6640,5,24M,3,Thesis Research,,TBA,1,1,0,0,0,0,Jason B Reineke (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17332,MC,6640,6,24M,3,Thesis Research,,TBA,1,1,0,0,0,0,Jan Patrice Quarles (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17538,MC,6640,7,24M,3,Thesis Research,,TBA,2,2,0,0,0,0,Katherine Ann Foss (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17608,MC,6640,8,24M,2,Thesis Research,,TBA,1,1,0,0,0,0,Jan Patrice Quarles (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17638,MC,6640,9,24M,3,Thesis Research,,TBA,1,1,0,0,0,0,Jennifer Bailey Woodard (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
C,17345,MC,6650,4,24M,6,Professional Project,,TBA,1,1,0,0,0,0,Roger Wayne Heinrich (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
