Sections Found,,,,,,,,,,,,,,,,,,,
MGMT-Management (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11972,MGMT,3220,R50,23R,3,Mgmt of Information Systems,,TBA,0,9,-9,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
NR,10069,MGMT,3610,1,24M,3,Principles of Management,MWF,08:00 am-08:55 am,40,37,3,0,0,0,Jean Renee Wilson (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16653,MGMT,3610,2,24M,3,Principles of Management,R,06:00 pm-09:00 pm,30,29,1,0,0,0,Michael D Walker (P),01/17-05/04,BAS S262,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10070,MGMT,3610,3,24M,3,Principles of Management,MW,12:40 pm-02:05 pm,90,90,0,0,0,0,James Henry Bast (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10071,MGMT,3610,4,24M,3,Principles of Management,MW,02:20 pm-03:45 pm,90,90,0,0,0,0,Dennis Earl Gupton (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10072,MGMT,3610,6,24M,3,Principles of Management,T,06:00 pm-09:00 pm,45,37,8,0,0,0,Joe G Thomas (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10075,MGMT,3610,9,24M,3,Principles of Management,MWF,11:30 am-12:25 pm,40,38,2,0,0,0,Jean Renee Wilson (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,12600,MGMT,3610,10,24M,3,Principles of Management,TR,01:00 pm-02:25 pm,90,90,0,0,0,0,Joe G Thomas (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12783,MGMT,3610,11,24M,3,(EXL) Principles of Management,R,06:00 pm-09:00 pm,40,35,5,0,0,0,Jacqueline A Gilbert (P),01/17-05/04,BAS S276,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15373,MGMT,3610,12,24M,3,Principles of Management,TR,04:20 pm-05:45 pm,40,40,0,0,0,0,Michael D Walker (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14340,MGMT,3610,D01,24M,3,Principles of Management,,TBA,28,29,-1,0,0,0,Tracy Provo Knight (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14341,MGMT,3610,D02,24M,3,Principles of Management,,TBA,28,29,-1,0,0,0,Tracy Provo Knight (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,11973,MGMT,3610,R50,24R,3,Principles of Management,,TBA,0,35,-35,0,0,0,"RODP Faculty (P), Jacqueline A Gilbert , Vickie L Montgomery",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
NR,12601,MGMT,3620,2,24M,3,Supply Chain Operations,MW,12:40 pm-02:05 pm,40,39,1,0,0,0,Kimball E Bullington (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10078,MGMT,3620,4,24M,3,Supply Chain Operations,M,06:00 pm-09:00 pm,40,30,10,0,0,0,Robert B Kethley (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10079,MGMT,3620,5,24M,3,Supply Chain Operations,TR,11:20 am-12:45 pm,40,40,0,0,0,0,Robert B Kethley (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,13299,MGMT,3620,6,24M,3,Supply Chain Operations,TR,09:40 am-11:05 am,40,40,0,0,0,0,Robert B Kethley (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14342,MGMT,3620,D01,24M,3,Supply Chain Operations,,TBA,28,28,0,0,0,0,Jinfeng Yue (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17546,MGMT,3620,D02,24M,3,Supply Chain Operations,,TBA,28,26,2,0,0,0,Jinfeng Yue (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10108,MGMT,3640,2,24M,3,Introduction to Management Science,TR,11:20 am-12:45 pm,30,30,0,0,0,0,Jinfeng Yue (P),01/17-05/04,BAS S306,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10109,MGMT,3640,3,24M,3,Introduction to Management Science,TR,02:40 pm-04:05 pm,30,22,8,0,0,0,Jinfeng Yue (P),01/17-05/04,BAS S306,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16656,MGMT,3705,1,24M,3,Continuous Improvement,TR,08:00 am-09:25 am,30,31,-1,0,0,0,Cliff Alan Welborn (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13523,MGMT,3710,1,24M,3,Management of Quality,TR,09:40 am-11:05 am,25,24,1,0,0,0,Zhen Li (P),01/17-05/04,BAS S306,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16657,MGMT,3710,2,24M,3,Management of Quality,TR,01:00 pm-02:25 pm,25,12,13,0,0,0,Zhen Li (P),01/17-05/04,BAS S306,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15374,MGMT,3725,1,24M,3,Lean Project Management Principles,M,06:00 pm-09:00 pm,25,13,12,0,0,0,Richard Joseph Tarpey (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14344,MGMT,3730,1,24M,3,Management of Innovation,MWF,11:30 am-12:25 pm,28,13,15,0,0,0,Kimball E Bullington (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16845,MGMT,3750,D01,24M,3,Advanced Supply Chain Strategies,,TBA,25,27,-2,0,0,0,Zhen Li (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,10111,MGMT,3810,1,24M,3,Human Resources Management,MWF,11:30 am-12:25 pm,30,15,15,0,0,0,Thomas L Tang (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14345,MGMT,3810,3,24M,3,Human Resources Management,TR,02:40 pm-04:05 pm,37,34,3,0,0,0,Michael D Walker (P),01/17-05/04,BAS S277,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,12312,MGMT,3810,D02,24M,3,Human Resources Management,,TBA,26,33,-7,0,0,0,Michael D Walker (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,14346,MGMT,3890,1,24M,3,(EXL)Managerial Decision Making,MWF,09:10 am-10:05 am,30,20,10,0,0,0,Jean Renee Wilson (P),01/17-05/04,BAS S262,Experiential Learning and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14445,MGMT,3940,1,24M,3,Business Ethics,MWF,10:20 am-11:15 am,30,12,18,0,0,0,James Henry Bast (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15375,MGMT,3940,2,24M,3,Business Ethics,MW,02:20 pm-03:45 pm,35,24,11,0,0,0,James Henry Bast (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16658,MGMT,4030,1,24M,3,Not for Profit Strategic Decision Making and Program Evaluation,TR,01:00 pm-02:25 pm,28,18,10,0,0,0,Leigh Anne Clark (P),01/17-05/04,BAS S262,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,11863,MGMT,4200,1,24M,3,Leadership in Organizations,TR,09:40 am-11:05 am,30,28,2,0,0,0,Joe G Thomas (P),01/17-05/04,BAS S262,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15376,MGMT,4200,2,24M,3,Leadership in Organizations,W,06:00 pm-09:00 pm,30,11,19,0,0,0,James Henry Bast (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10113,MGMT,4490,1,24M,3,Industrial Relations Legislation,M,06:00 pm-09:00 pm,10,11,-1,40,35,5,Susan K Bradley (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13300,MGMT,4640,1,24M,3,Human Resources Planning and Staffing,TR,11:20 am-12:45 pm,30,26,4,0,0,0,Michael D Walker (P),01/17-05/04,BAS S262,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10114,MGMT,4680,1,24M,3,Organization Behavior,MW,02:20 pm-03:45 pm,37,9,28,0,0,0,Thomas L Tang (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14347,MGMT,4680,3,24M,3,Organization Behavior,W,06:00 pm-09:00 pm,30,14,16,0,0,0,Thomas L Tang (P),01/17-05/04,BAS S262,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14348,MGMT,4680,4,24M,3,Organization Behavior,TR,01:00 pm-02:25 pm,37,34,3,0,0,0,Millicent Faye Nelson (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15377,MGMT,4700,1,24M,3,Problems in Supply Chain Operations,R,06:00 pm-09:00 pm,30,8,22,0,0,0,Zhen Li (P),01/17-05/04,BAS S273,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10157,MGMT,4710,1,24M,3,International Business,MWF,10:20 am-11:15 am,20,15,5,40,35,5,Thomas L Tang (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10158,MGMT,4710,2,24M,3,International Business,TR,02:40 pm-04:05 pm,50,46,4,85,81,4,Richard T Mpoyi (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14515,MGMT,4800,R50,23R,3,Corporate Etiquette,,TBA,0,12,-12,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
NR,10159,MGMT,4950,1,24M,3,(EXL)Management Internship,,TBA,30,12,18,0,0,0,William C McDowell (P),01/17-05/04,TBA TBA,Experiential Learning and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10161,MGMT,4990,1,24M,3,Independent Study; Small Business Managment,,TBA,5,1,4,0,0,0,M Jill Austin (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13961,MGMT,4990,2,24M,3,Independent Study,,TBA,5,3,2,0,0,0,Ralph Ivan Williams (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14914,MGMT,4990,3,24M,3,Independent Study,,TBA,5,1,4,0,0,0,Leigh Anne Clark (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16239,MGMT,4990,4,24M,3,Independent Study,,TBA,5,1,4,0,0,0,Deana Meadows Raffo (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17650,MGMT,4990,5,24M,3,Independent Study; Project Management Principles,,TBA,5,1,4,0,0,0,Cliff Alan Welborn (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13705,MGMT,6200,1,24M,3,Lean Project Management Principles,M,06:00 pm-09:00 pm,20,8,12,0,0,0,Kimball E Bullington (P),01/17-05/04,BAS S306,College of Business Course Fee
NR,15378,MGMT,6300,D01,24M,3,Not-for-Profit Management and Governance,,TBA,20,18,2,0,0,0,Leigh Anne Clark (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-GR and Credit from 4-Year College and Upper-Division Work
NR,12468,MGMT,6660,D01,24M,3,Organization Development,,TBA,18,14,4,0,0,0,Jacqueline A Gilbert (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-GR
NR,12605,MGMT,6680,1,24M,3,Seminar in Human Resources Management,T,06:00 pm-09:00 pm,20,14,6,0,0,0,Daniel L Morrell (P),01/17-05/04,BAS S273,College of Business Course Fee
C,14350,MGMT,6740,1,24M,3,Leadership and Motivation,M,06:00 pm-09:00 pm,18,18,0,0,0,0,Roy Earl Thomas (P),01/17-03/03,BAS S126,Accelerated 1 Part of term and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14351,MGMT,6740,2,24M,3,Leadership and Motivation,T,02:40 pm-05:40 pm,18,7,11,0,0,0,Roy Earl Thomas (P),01/17-03/03,BAS S273,Accelerated 1 Part of term and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
