Sections Found,,,,,,,,,,,,,,,,,,,
MKT-Marketing (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,15385,MKT,3010,1,24M,3,Professional Preparation in Marketing,TR,08:00 am-09:25 am,30,31,-1,0,0,0,Laura Mchughes Buckner (P),01/17-05/04,BAS S130A,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15386,MKT,3010,2,24M,3,Professional Preparation in Marketing,M,06:00 pm-09:00 pm,28,21,7,0,0,0,Laura Mchughes Buckner (P),01/17-05/04,BAS S338,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16640,MKT,3200,1,24M,3,Marketing for Entrepreneurs,MWF,09:10 am-10:05 am,25,9,16,0,0,0,William Randall Clark (P),01/17-05/04,BAS S130A,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14354,MKT,3820,1,24M,3,Principles of Marketing,TR,11:20 am-12:45 pm,90,90,0,0,0,0,Cheryl Blankenship Ward (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,13527,MKT,3820,2,24M,3,Principles of Marketing,MWF,09:10 am-10:05 am,90,92,-2,0,0,0,Diane Rae Edmondson (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13302,MKT,3820,3,24M,3,Principles of Marketing,MWF,10:20 am-11:15 am,45,44,1,0,0,0,Diane Rae Edmondson (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10164,MKT,3820,4,24M,3,Principles of Marketing,MW,04:10 pm-05:35 pm,90,88,2,0,0,0,Maria Azhar Khan (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12655,MKT,3820,5,24M,3,Principles of Marketing,TR,09:40 am-11:05 am,90,89,1,0,0,0,Alizabeth Ann Allgood (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14355,MKT,3820,6,24M,3,Principles of Marketing,R,06:00 pm-09:00 pm,40,40,0,0,0,0,Edward A Friz (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10165,MKT,3820,7,24M,3,Principles of Marketing,W,06:00 pm-09:00 pm,40,40,0,0,0,0,Alizabeth Ann Allgood (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
