Sections Found,,,,,,,,,,,,,,,,,,,
MOBI-Molecular Biosciences,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16049,MOBI,7100,1,24M,3,Research Ethics,W,02:40 pm-05:40 pm,10,10,0,0,0,0,"Rebecca Lynn Seipelt-Thiemann (P), Sarah Elizabeth Bergemann , Charles C Chusuei , Robert S Howard , Ashley Brigham Morris , Ryan Ross Otter",01/17-05/04,SCI 2142,
NR,13468,MOBI,7300,1,24M,2,Current Topics in Scientific Literature and Communication in Molecular Biosciences I,W,03:00 pm-04:50 pm,20,9,11,0,0,0,Keying Ding (P),01/17-05/04,SCI 2105,
NR,13474,MOBI,7400,1,24M,2,Current Topics in Scientific Literature and Communication in Molecular Biosciences II,TR,11:20 am-12:45 pm,40,16,24,0,0,0,Anthony L Farone (P),01/17-05/04,SCI 1190,
NR,12575,MOBI,7500,1,24M,1,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Anthony L Farone (P),01/17-05/04,TBA TBA,
NR,12574,MOBI,7500,2,24M,2,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Paul C Kline (P),01/17-05/04,TBA TBA,
NR,17292,MOBI,7500,7,24M,4,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Jason R Jessen (P),01/17-05/04,TBA TBA,
NR,17391,MOBI,7500,8,24M,1,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Elliot Charles Altman (P),01/17-05/04,TBA TBA,
NR,17431,MOBI,7500,9,24M,6,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Donna L Boyd (P),01/17-05/04,TBA TBA,
NR,17539,MOBI,7500,10,24M,2,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Anthony L Farone (P),01/17-05/04,TBA TBA,
NR,17654,MOBI,7500,11,24M,6,Directed Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Jason R Jessen (P),01/17-05/04,TBA TBA,
NR,12772,MOBI,7640,1,24M,1,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Mary Bosch Farone (P),01/17-05/04,TBA TBA,
NR,12947,MOBI,7640,4,24M,4,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Erin E McClelland (P),01/17-05/04,TBA TBA,
NR,13051,MOBI,7640,6,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Paul C Kline (P),01/17-05/04,TBA TBA,
NR,17247,MOBI,7640,8,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,James B Robertson (P),01/17-05/04,TBA TBA,
NR,17256,MOBI,7640,9,24M,2,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,David Edward Nelson (P),01/17-05/04,TBA TBA,
NR,17361,MOBI,7640,11,24M,3,Dissertation Research in Molecular Biosciences,,TBA,3,2,1,0,0,0,Elliot Charles Altman (P),01/17-05/04,TBA TBA,
NR,17362,MOBI,7640,12,24M,1,Dissertation Research in Molecular Biosciences,,TBA,3,2,1,0,0,0,Elliot Charles Altman (P),01/17-05/04,TBA TBA,
NR,17363,MOBI,7640,13,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,2,1,0,0,0,Elliot Charles Altman (P),01/17-05/04,TBA TBA,
NR,17383,MOBI,7640,14,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Donna L Boyd (P),01/17-05/04,TBA TBA,
NR,17432,MOBI,7640,15,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Robert Urban Fischer (P),01/17-05/04,TBA TBA,
NR,17433,MOBI,7640,16,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Anthony L Newsome (P),01/17-05/04,TBA TBA,
NR,17457,MOBI,7640,17,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Anthony L Farone (P),01/17-05/04,TBA TBA,
NR,17468,MOBI,7640,18,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Mohamed Sewalim Salem (P),01/17-05/04,TBA TBA,
NR,17520,MOBI,7640,19,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Frank C Bailey (P),01/17-05/04,TBA TBA,
NR,17534,MOBI,7640,20,24M,6,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Rebecca Lynn Seipelt-Thiemann (P),01/17-05/04,TBA TBA,
NR,17544,MOBI,7640,21,24M,3,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Jeffrey L Walck (P),01/17-05/04,TBA TBA,
NR,17545,MOBI,7640,22,24M,3,Dissertation Research in Molecular Biosciences,,TBA,3,1,2,0,0,0,Christopher Robert Herlihy (P),01/17-05/04,TBA TBA,
NR,17368,MOBI,7700,6,24M,4,Advanced Concepts in Molecular Biosciences,,TBA,3,1,2,0,0,0,Elliot Charles Altman (P),01/17-05/04,TBA TBA,
