Sections Found,,,,,,,,,,,,,,,,,,,
MRAT-Recording Arts & Tech,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,17392,MRAT,5810,1,24M,3,Topics in Recording Industry,TR,01:00 pm-02:25 pm,1,1,0,17,18,-1,Alison Lee Sultan (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee
NR,16706,MRAT,6070,1,24M,3,Visual Aesthetics and Technology I,MW,12:40 pm-02:05 pm,12,10,2,0,0,0,Cosette R Collier (P),01/17-05/04,BRAGG 111,Media Entertainment Course Fee
NR,11113,MRAT,6110,1,24M,3,Production Seminar I,TR,01:00 pm-02:25 pm,13,10,3,0,0,0,Michael L Hanson (P),01/17-05/04,BRAGG 180,Media Entertainment Course Fee
NR,12760,MRAT,6140,1,24M,3,Graduate Seminar in Audio Recording,MW,02:20 pm-03:45 pm,13,11,2,0,0,0,William Earle Crabtree (P),01/17-05/04,BRAGG 191,Tutoring Courses and Media Entertainment Course Fee
NR,12967,MRAT,6150,1,24M,3,Legal Rights of the Creative Individual,TR,09:40 am-11:05 am,20,12,8,0,0,0,Deborah Lanora Wagnon (P),01/17-05/04,BRAGG 191,Media Entertainment Course Fee
NR,16707,MRAT,6155,1,24M,3,Analog Recording,MW,12:40 pm-02:05 pm,13,10,3,0,0,0,Daniel Powers Pfeifer (P),01/17-05/04,BRAGG 174,Media Entertainment Course Fee
C,16708,MRAT,6160,1,24M,3,Contemporary Methods of Programming and Production,MW,02:20 pm-03:45 pm,12,12,0,0,0,0,Joseph Louis Akins (P),01/17-05/04,BRAGG 130,Media Entertainment Course Fee
NR,11115,MRAT,6210,1,24M,3,Production Seminar III,TR,11:20 am-12:45 pm,12,10,2,0,0,0,Matthew M Foglia (P),01/17-05/04,BRAGG 174,Media Entertainment Course Fee
NR,14898,MRAT,6650,1,24M,1,Final Project,,TBA,4,2,2,0,0,0,William Earle Crabtree (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
NR,12307,MRAT,6650,2,24M,3,Final Project,,TBA,10,4,6,0,0,0,William Earle Crabtree (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
NR,12729,MRAT,6650,3,24M,6,Final Project,,TBA,10,3,7,0,0,0,William Earle Crabtree (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee
