Sections Found,,,,,,,,,,,,,,,,,,,
MSE-Math Science Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13391,MSE,1010,4,24M,1,Step 1: Inquiry Approaches to Teaching,W,12:40 pm-02:00 pm,24,9,15,0,0,0,Robin Terese Bollman (P),01/17-05/04,KOM 321,Credit from 4-Year College
NR,13392,MSE,1010,5,24M,1,Step 1: Inquiry Approaches to Teaching,T,02:40 pm-04:00 pm,24,9,15,0,0,0,Robin Terese Bollman (P),01/17-05/04,COE 146,Credit from 4-Year College
NR,13394,MSE,2010,3,24M,1,Step 2: Inquiry Lesson Design,W,08:00 am-09:20 am,20,6,14,0,0,0,Robin Terese Bollman (P),01/17-05/04,COE 140,Credit from 4-Year College
NR,13395,MSE,2010,4,24M,1,Step 2: Inquiry Lesson Design,R,09:40 am-11:00 am,20,12,8,0,0,0,Robin Terese Bollman (P),01/17-05/04,KOM 307,Credit from 4-Year College
C,15886,MSE,7002,1,24M,1,Residency Seminar 2,,TBA,4,6,-2,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
C,12848,MSE,7500,2,24M,2,Directed Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
C,13124,MSE,7500,6,24M,1,Directed Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
C,13075,MSE,7640,1,24M,3,Dissertation Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Amy J Phelps (P),01/17-05/04,TBA TBA,
C,13077,MSE,7640,2,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Michael James Sanger (P),01/17-05/04,TBA TBA,
NR,14719,MSE,7640,3,24M,2,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Michaele F Chappell (P),01/17-05/04,TBA TBA,
NR,14720,MSE,7640,4,24M,6,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Amy J Phelps (P),01/17-05/04,TBA TBA,
C,13120,MSE,7640,5,24M,6,Dissertation Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
C,13149,MSE,7640,6,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,1,2,-1,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
NR,16032,MSE,7640,7,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Jeremy F Strayer (P),01/17-05/04,TBA TBA,
NR,13904,MSE,7640,8,24M,6,Dissertation Research in Mathematics and Science Education,,TBA,2,1,1,0,0,0,Jeremy F Strayer (P),01/17-05/04,TBA TBA,
NR,13916,MSE,7640,9,24M,3,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Jeremy F Strayer (P),01/17-05/04,TBA TBA,
C,13949,MSE,7640,11,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,1,1,0,0,0,0,Sarah Kathleen Baxter (P),01/17-05/04,TBA TBA,
NR,16034,MSE,7640,14,24M,2,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Angela Till Barlow (P),01/17-05/04,TBA TBA,
NR,17253,MSE,7640,18,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,3,2,1,0,0,0,Cindi L Smith-Walters (P),01/17-05/04,TBA TBA,
NR,17254,MSE,7640,19,24M,1,Dissertation Research in Mathematics and Science Education,,TBA,3,1,2,0,0,0,Michael L Rutledge (P),01/17-05/04,TBA TBA,
NR,17255,MSE,7640,20,24M,6,Dissertation Research in Mathematics and Science Education,,TBA,3,2,1,0,0,0,Grant Ean Gardner (P),01/17-05/04,TBA TBA,
C,13912,MSE,7800,1,24M,3,Teaching Internship,,TBA,1,1,0,0,0,0,Jennifer Nickell Lovett (P),01/17-05/04,TBA TBA,
NR,17499,MSE,7800,5,24M,3,Teaching Internship,,TBA,3,1,2,0,0,0,Grant Ean Gardner (P),01/17-05/04,TBA TBA,
NR,13465,MSE,7820,2,24M,1,Seminar in Mathematics and Science Education,R,06:00 pm-08:00 pm,24,2,22,0,0,0,Angela Till Barlow (P),01/17-05/04,BAS S332,
NR,16781,MSE,7845,1,24M,2,Nature of Mathematics and Science,R,03:55 pm-05:40 pm,24,11,13,0,0,0,"Grant Ean Gardner (P), Jeremy F Strayer",01/17-05/04,BAS S305,
