Sections Found,,,,,,,,,,,,,,,,,,,
MUAP-Music Applied,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11584,MUAP,2342,1,24M,2,Private Instruction-Composition,M,11:30 am-12:25 pm,10,2,8,0,0,0,Yoomi Paick (P),01/17-05/04,SFA 208,Private Instruction Music Fee and Credit from 4-Year College
NR,17642,MUAP,2342,2,24M,2,Private Instruction-Composition,,TBA,5,1,4,0,0,0,James Raymond Simmons (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,14699,MUAP,2351,2,24M,1,Private Instruction-Piano,W,11:30 am-12:25 pm,10,2,8,100,8,92,Adam L Clark (P),01/17-05/04,WMB MH,Private Instruction Music Fee and Credit from 4-Year College
NR,11586,MUAP,2351,3,24M,1,Private Instruction-Piano/Jazz,,TBA,10,5,5,0,0,0,Matt Endahl (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,11587,MUAP,2352,1,24M,2,Private Instruction-Piano,W,11:30 am-12:25 pm,10,6,4,0,0,0,Arunesh N Nadgir (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,11588,MUAP,2352,2,24M,2,Private Instruction Piano,W,11:30 am-12:25 pm,10,4,6,100,8,92,Adam L Clark (P),01/17-05/04,WMB MH,Private Instruction Music Fee and Credit from 4-Year College
NR,11592,MUAP,2371,1,24M,1,Private Instruction-Voice,R,11:20 am-12:45 pm,20,1,19,65,16,49,Christine C Isley-Farmer (P),01/17-05/04,SFA 101,Private Instruction Music Fee and Credit from 4-Year College
NR,11593,MUAP,2371,2,24M,1,Private Instruction-Voice,R,11:20 am-12:45 pm,10,8,2,40,18,22,Dina Sandra Cancryn (P),01/17-05/04,WMB 173,Private Instruction Music Fee and Credit from 4-Year College
NR,11594,MUAP,2371,3,24M,1,Private Instruction-Voice,R,11:20 am-12:45 pm,10,1,9,50,5,45,H Stephen Smith (P),01/17-05/04,SFA 117,Private Instruction Music Fee and Credit from 4-Year College
NR,14904,MUAP,2371,4,24M,1,Private Instruction-Voice/Jazz,,TBA,5,2,3,0,0,0,James W Ferguson (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,12104,MUAP,2371,5,24M,1,Private Instruction-Voice,T,11:20 am-12:15 pm,10,9,1,0,0,0,Joshua T Zink (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,12829,MUAP,2371,6,24M,1,Private Instruction-Voice/Jazz,,TBA,10,3,7,0,0,0,Ashley Nycole Kimbrough (P),01/17-05/04,TBA TBA,Private Instruction Music Fee and Credit from 4-Year College
NR,11595,MUAP,2372,1,24M,2,Private Instruction-Voice,R,11:20 am-12:45 pm,10,6,4,65,16,49,Christine C Isley-Farmer (P),01/17-05/04,SFA 101,Private Instruction Music Fee and Credit from 4-Year College
NR,11596,MUAP,2372,2,24M,2,Private Instruction-Voice,R,11:20 am-12:45 pm,10,3,7,40,18,22,Dina Sandra Cancryn (P),01/17-05/04,WMB 173,Private Instruction Music Fee and Credit from 4-Year College
