Sections Found,,,,,,,,,,,,,,,,,,,
MUED-Music Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13575,MUED,1310,1,24M,1,Woodwind Techniques I,MW,10:20 am-11:15 am,12,4,8,0,0,0,Martin I Gaines (P),01/17-05/04,SFA 205,Credit from 4-Year College
C,11469,MUED,1320,1,24M,1,Percussion Techniques,MWF,10:20 am-11:15 am,20,20,0,0,0,0,Brian S Mueller (P),01/17-05/04,WMB 173,Credit from 4-Year College
NR,17059,MUED,1500,1,24M,1,Beginning Band Methods,MW,08:00 am-08:55 am,20,14,6,0,0,0,Christopher K Dye (P),01/17-05/04,SFA 101,Credit from 4-Year College
C,17060,MUED,1500,2,24M,1,Beginning Band Methods,TR,01:00 pm-01:55 pm,20,20,0,0,0,0,Christopher K Dye (P),01/17-05/04,SFA 205,Credit from 4-Year College
NR,11470,MUED,2000,1,24M,2,Philosophy and Introduction to Music Education,TR,09:40 am-11:05 am,20,8,12,0,0,0,Jamila LeAnn McWhirter (P),01/17-05/04,SFA 301,Credit from 4-Year College
NR,11471,MUED,2310,1,24M,1,Choral Music Lab,F,11:30 am-12:25 pm,33,2,31,0,0,0,Angela Roselle Tipps (P),01/17-05/04,SFA 117,Credit from 4-Year College
NR,11472,MUED,2320,1,24M,1,Instrumental Music Lab,M,11:30 am-12:25 pm,80,15,65,0,0,0,Raymond D Thomas (P),01/17-05/04,SFA 101,Credit from 4-Year College
NR,13018,MUED,2320,2,24M,1,Instrumental Music Lab,M,07:30 pm-09:15 pm,75,21,54,0,0,0,Charles A Kennedy (P),01/17-05/04,TBA TBA,Credit from 4-Year College
NR,15671,MUED,3190,1,24M,3,General Music in the Middle and Senior High School,MWF,12:40 pm-01:35 pm,30,4,26,0,0,0,Jennifer Elizabeth Vannatta-Hall (P),01/17-05/04,SFA 303,Credit from 4-Year College and Upper-Division Work
NR,11473,MUED,3200,1,24M,3,Music in the Elementary Grades for Music Majors,TR,08:00 am-09:25 am,25,10,15,0,0,0,Susan Clapp Ramsay (P),01/17-05/04,SFA 303,Credit from 4-Year College and Upper-Division Work
NR,11475,MUED,3230,1,24M,3,Instrumental Materials,MWF,10:20 am-11:15 am,25,16,9,0,0,0,"Craig Steven Cornish (P), Christopher K Dye",01/17-05/04,SFA 208,Credit from 4-Year College and Upper-Division Work
C,11476,MUED,3310,1,24M,1,Woodwind Techniques II,MW,08:00 am-08:55 am,12,14,-2,0,0,0,"Rebecca Lynn Murphy (P), Kathryn June Frazier",01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
C,15697,MUED,4670,1,24M,3,Music for the Young Child,TR,09:40 am-11:05 am,24,24,0,0,0,0,Jennifer Elizabeth Vannatta-Hall (P),01/17-05/04,SFA 303,Credit from 4-Year College and Upper-Division Work
NR,14488,MUED,4680,1,24M,0,Music Education Seminar,,TBA,5,1,4,0,0,0,Christopher K Dye (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,11477,MUED,6621,1,24M,3,Music Education Research Project,,TBA,5,2,3,0,0,0,Jamila LeAnn McWhirter (P),01/17-05/04,TBA TBA,
NR,14602,MUED,6632,1,24M,3,Contemporary Issues and Research in Music Education,T,04:30 pm-07:30 pm,8,2,6,0,0,0,Jamila LeAnn McWhirter (P),01/17-05/04,SFA 205,
