Sections Found,,,,,,,,,,,,,,,,,,,
MUEN-Music Ensembles,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12075,MUEN,3000,1,24M,1,Accompanying,MW,03:00 pm-03:55 pm,10,2,8,0,0,0,Arunesh N Nadgir (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,11478,MUEN,3110,1,24M,1,Symphonic Band,TR,02:40 pm-04:05 pm,100,42,58,150,76,74,Craig Steven Cornish (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
NR,11479,MUEN,3110,2,24M,0,Symphonic Band,TR,02:40 pm-04:05 pm,50,34,16,150,76,74,Craig Steven Cornish (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
NR,11480,MUEN,3120,1,24M,1,Wind Ensemble,TR,02:05 pm-04:05 pm,125,14,111,160,43,117,Raymond D Thomas (P),01/17-05/04,WMB MH,Credit from 4-Year College and Upper-Division Work
NR,11481,MUEN,3120,2,24M,0,Wind Ensemble,TR,02:05 pm-04:05 pm,25,24,1,160,43,117,Raymond D Thomas (P),01/17-05/04,WMB MH,Credit from 4-Year College and Upper-Division Work
NR,14548,MUEN,3140,1,24M,1,Concert Band,M,07:30 pm-09:15 pm,150,32,118,190,55,135,Charles A Kennedy (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
NR,14549,MUEN,3140,2,24M,0,Concert Band,M,07:30 pm-09:15 pm,40,23,17,190,55,135,Charles A Kennedy (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
NR,11482,MUEN,3200,1,24M,1,Concert Chorale,T,07:00 pm-09:00 pm,85,3,82,103,5,98,Raphael B Bundage (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,11483,MUEN,3200,2,24M,0,Concert Chorale,T,07:00 pm-09:00 pm,13,2,11,103,5,98,Raphael B Bundage (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,17337,MUEN,3200,3,24M,0,Concert Chorale,F,11:30 am-12:25 pm,30,8,22,0,0,0,Angela Roselle Tipps (P),01/17-05/04,SFA 207,Credit from 4-Year College and Upper-Division Work
NR,17192,MUEN,3210,1,24M,1,Meister Singers,MW,12:40 pm-01:35 pm,20,4,16,0,0,0,Raphael B Bundage (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,11484,MUEN,3220,1,24M,1,Women's Chorus,TR,01:00 pm-02:25 pm,70,31,39,95,45,50,Angela Roselle Tipps (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,13577,MUEN,3220,2,24M,0,Women's Chorus,TR,01:00 pm-02:25 pm,15,13,2,95,45,50,Angela Roselle Tipps (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,11485,MUEN,3230,1,24M,1,Schola Cantorum,MW,11:30 am-12:25 pm,50,30,20,0,0,0,Raphael B Bundage (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,13915,MUEN,3230,2,24M,1,Schola Cantorum,,TBA,20,1,19,0,0,0,Raphael B Bundage (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,12635,MUEN,3240,1,24M,1,MTSU Singers,TR,02:40 pm-04:05 pm,30,18,12,35,20,15,Cedric C Dent (P),01/17-05/04,SFA 117,Credit from 4-Year College and Upper-Division Work
NR,11486,MUEN,3250,1,24M,1,Opera Theater,MW,03:00 pm-04:55 pm,30,11,19,31,14,17,H Stephen Smith (P),01/17-05/04,WMB MH,Credit from 4-Year College and Upper-Division Work
NR,17328,MUEN,3250,3,24M,0,Opera Theater,MW,03:00 pm-04:55 pm,10,3,7,31,14,17,H Stephen Smith (P),01/17-05/04,WMB MH,Credit from 4-Year College and Upper-Division Work
NR,15928,MUEN,3300,4,24M,1,Symphony Orchestra,T,05:00 pm-06:30 pm,70,26,44,100,48,52,Carol Reiner Nies (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,04:30 pm-06:00 pm,,,,,,,Carol Reiner Nies (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
C,15929,MUEN,3300,5,24M,0,Symphony Orchestra,T,05:00 pm-06:30 pm,15,21,-6,100,48,52,Carol Reiner Nies (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,04:30 pm-06:00 pm,,,,,,,Carol Reiner Nies (P),01/17-05/04,WMB 173,Credit from 4-Year College and Upper-Division Work
NR,17299,MUEN,3360,1,24M,1,Concert Orchestra,F,03:00 pm-04:00 pm,20,11,9,0,0,0,Carol Reiner Nies (P),01/17-05/04,SFA 101,Credit from 4-Year College and Upper-Division Work
