Sections Found,,,,,,,,,,,,,,,,,,,
MUHL-Music History & Lit,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12327,MUHL,1610,1,24M,2,The World of Music,MW,09:10 am-10:05 am,100,42,58,0,0,0,Stephen M Shearon (P),01/17-05/04,WMB 173,Credit from 4-Year College
NR,13781,MUHL,1610,2,24M,2,The World of Music,MW,12:40 pm-01:35 pm,30,18,12,0,0,0,Joshua A Zarbo (P),01/17-05/04,SFA 301,Credit from 4-Year College
NR,12151,MUHL,3010,1,24M,3,History of Western Art Music I,MWF,08:00 am-08:55 am,30,12,18,0,0,0,Stephen M Shearon (P),01/17-05/04,SFA 303,Credit from 4-Year College and Upper-Division Work
NR,12152,MUHL,3020,1,24M,3,History of Western Art Music II,MWF,09:10 am-10:05 am,30,19,11,0,0,0,Joseph Edward Morgan (P),01/17-05/04,SFA 211,Credit from 4-Year College and Upper-Division Work
NR,11524,MUHL,3670,1,24M,3,History of Popular Music in America,TR,02:40 pm-04:05 pm,30,29,1,0,0,0,Gregory Nathan Reish (P),01/17-05/04,SFA 303,Credit from 4-Year College and Upper-Division Work
NR,13590,MUHL,3670,2,24M,3,History of Popular Music in America,TR,04:20 pm-05:45 pm,33,14,19,0,0,0,Patrick Collins Atwater (P),01/17-05/04,SFA 301,Credit from 4-Year College and Upper-Division Work
NR,13591,MUHL,3910,1,24M,3,Styles and Analysis of Jazz,MWF,12:40 pm-01:35 pm,25,5,20,30,6,24,Don J Aliquo (P),01/17-05/04,SFA 211,Credit from 4-Year College and Upper-Division Work
NR,11525,MUHL,4060,1,24M,3,Survey of Guitar Literature,TR,04:20 pm-05:45 pm,5,1,4,10,2,8,William E Yelverton (P),01/17-05/04,SFA 211,Credit from 4-Year College and Upper-Division Work
NR,17070,MUHL,4630,1,24M,3,Seventeenth- and Eighteenth-Century Music,M,04:30 pm-07:30 pm,25,6,19,30,9,21,Joseph Edward Morgan (P),01/17-05/04,SFA 208,Credit from 4-Year College and Upper-Division Work
NR,15804,MUHL,4660,1,24M,3,American Music,TR,02:40 pm-04:05 pm,25,5,20,0,0,0,Stephen M Shearon (P),01/17-05/04,SFA 208,Credit from 4-Year College and Upper-Division Work
NR,17045,MUHL,4840,1,24M,3,Musical Theater History,MW,12:40 pm-02:05 pm,10,9,1,30,23,7,Kristi Charline Shamburger (P),01/17-05/04,BDA 218,Credit from 4-Year College and Upper-Division Work
NR,14609,MUHL,5060,1,24M,3,Guitar Literature,TR,04:20 pm-05:45 pm,5,1,4,10,2,8,William E Yelverton (P),01/17-05/04,SFA 211,
NR,12083,MUHL,5070,D01,24M,3,Music History Survey,,TBA,25,8,17,0,0,0,Stephen M Shearon (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,17071,MUHL,5630,1,24M,3,Seventeenth and Eighteenth Century Music,M,04:30 pm-07:30 pm,5,3,2,30,9,21,Joseph Edward Morgan (P),01/17-05/04,SFA 208,
