Sections Found,,,,,,,,,,,,,,,,,,,
MUS-Music,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,15648,MUS,1002,R50,63R,3,Fundamentals of Music Theory,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
NR,11529,MUS,1010,1,24M,0,Recital Attendance,R,11:20 am-12:15 pm,300,165,135,0,0,0,William M Parkinson (P),01/17-05/04,WMB MH,Credit from 4-Year College
NR,11530,MUS,1030,1,24M,3,Introduction to Music,MWF,10:20 am-11:15 am,200,56,144,0,0,0,"Rebecca Lynn Murphy (P), Eric Steven Luminais",01/17-05/04,WMB MH,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11531,MUS,1030,2,24M,3,Introduction to Music,MWF,03:00 pm-03:55 pm,30,25,5,0,0,0,Richard J Mraz (P),01/17-05/04,SFA 211,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,13595,MUS,1030,3,24M,3,Introduction to Music,MWF,12:40 pm-01:35 pm,30,28,2,0,0,0,Dewayne A Pigg (P),01/17-05/04,SFA 205,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,13597,MUS,1030,4,24M,3,Introduction to Music,TR,08:00 am-09:25 am,30,30,0,0,0,0,Kimberly Sprinkle Hopkins (P),01/17-05/04,SFA 301,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,12500,MUS,1030,5,24M,3,Introduction to Music,MWF,01:50 pm-02:45 pm,31,24,7,0,0,0,Stephanie Dillon Jones (P),01/17-05/04,SFA 301,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11545,MUS,1030,6,24M,3,Introduction to Music,MWF,12:40 pm-01:35 pm,30,30,0,0,0,0,Stephanie Dillon Jones (P),01/17-05/04,SFA 101,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,14091,MUS,1030,7,24M,3,Introduction to Music,TR,08:00 am-09:25 am,30,25,5,0,0,0,Sheri Denise Stoner-Harris (P),01/17-05/04,SFA 208,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,12527,MUS,1030,9,24M,3,Introduction to Music,MW,04:10 pm-05:35 pm,35,35,0,0,0,0,David Lee Feagans (P),01/17-05/04,SFA 207,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,12399,MUS,1030,10,24M,3,Introduction to Music,TR,04:20 pm-05:45 pm,26,27,-1,0,0,0,Jonathan Alden Wires (P),01/17-05/04,SFA 207,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,13340,MUS,1030,12,24M,3,Introduction to Music,TR,09:40 am-11:05 am,30,29,1,0,0,0,Kimberly Sprinkle Hopkins (P),01/17-05/04,SFA 207,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11540,MUS,1030,13,24M,3,Introduction to Music,M,06:00 pm-09:00 pm,30,8,22,0,0,0,Myles B Baumgardner (P),01/17-05/04,SFA 211,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11541,MUS,1030,14,24M,3,Introduction to Music,W,06:00 pm-09:00 pm,30,22,8,0,0,0,David Lee Feagans (P),01/17-05/04,SFA 207,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,12526,MUS,1030,15,24M,3,Introduction to Music,TR,09:40 am-11:05 am,200,116,84,0,0,0,Angela Roselle Tipps (P),01/17-05/04,WMB MH,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,12971,MUS,1030,17,24M,3,Introduction to Music,TR,02:40 pm-04:05 pm,30,27,3,0,0,0,Dewayne A Pigg (P),01/17-05/04,SFA 211,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11542,MUS,1030,18,24M,3,Introduction to Music,TR,01:00 pm-02:25 pm,31,30,1,0,0,0,Luke C Freeman (P),01/17-05/04,BAS S275,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11543,MUS,1030,19,24M,3,Introduction to Music,TR,02:40 pm-04:05 pm,30,24,6,0,0,0,Luke C Freeman (P),01/17-05/04,SFA 207,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11544,MUS,1030,23,24M,3,Introduction to Music,T,06:00 pm-09:00 pm,30,11,19,0,0,0,Myles B Baumgardner (P),01/17-05/04,SFA 301,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
