Sections Found,,,,,,,,,,,,,,,,,,,
MUTH-Music Theory,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13682,MUTH,1000,1,24M,3,Elements of Music,MWF,09:10 am-10:05 am,30,17,13,0,0,0,Joshua T Zink (P),01/17-05/04,SFA 205,Tutoring Courses and Credit from 4-Year College
C,11575,MUTH,1110,1,24M,4,Theory and Aural Skills I,MWF,08:00 am-08:55 am,30,33,-3,0,0,0,Michael R Linton (P),01/17-05/04,WMB 173,Tutoring Courses and Credit from 4-Year College
,,,,,,,,TR,08:00 am-08:55 am,,,,,,,Michael R Linton (P),01/17-05/04,WMB 173,Tutoring Courses and Credit from 4-Year College
C,11576,MUTH,1110,2,24M,4,Theory and Aural Skills I,MWF,08:00 am-08:55 am,30,32,-2,0,0,0,Christopher Craig Combest (P),01/17-05/04,SFA 207,Tutoring Courses and Credit from 4-Year College
,,,,,,,,TR,08:00 am-08:50 am,,,,,,,Christopher Craig Combest (P),01/17-05/04,SFA 207,Tutoring Courses and Credit from 4-Year College
NR,11577,MUTH,1120,1,24M,4,Theory and Aural Skills II,MWF,10:20 am-11:15 am,30,23,7,0,0,0,Michael R Linton (P),01/17-05/04,SFA 303,Tutoring Courses and Credit from 4-Year College
,,,,,,,,TR,01:00 pm-01:55 pm,,,,,,,Michael R Linton (P),01/17-05/04,SFA 303,Tutoring Courses and Credit from 4-Year College
NR,11579,MUTH,1120,2,24M,4,Theory and Aural Skills II,MWF,08:00 am-08:55 am,30,10,20,0,0,0,Eun-Byol Ko (P),01/17-05/04,SFA 205,Tutoring Courses and Credit from 4-Year College
,,,,,,,,TR,08:00 am-09:25 am,,,,,,,Eun-Byol Ko (P),01/17-05/04,SFA 205,Tutoring Courses and Credit from 4-Year College
NR,11580,MUTH,2110,1,24M,3,Theory and Aural Skills III,MW,09:10 am-10:05 am,30,19,11,0,0,0,Eun-Byol Ko (P),01/17-05/04,SFA 303,Tutoring Courses and Credit from 4-Year College
,,,,,,,,TR,09:40 am-10:35 am,,,,,,,Eun-Byol Ko (P),01/17-05/04,SFA 205,Tutoring Courses and Credit from 4-Year College
