Sections Found,,,,,,,,,,,,,,,,,,,
NFS-Nutrition and Food Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12326,NFS,1240,1,24M,3,Principles of Nutrition,TR,08:00 am-09:25 am,70,58,12,0,0,0,Sandra L Poirier (P),01/17-05/04,EHS 106,Credit from 4-Year College
NR,14121,NFS,1240,3,24M,3,Principles of Nutrition,T,04:30 pm-07:30 pm,33,25,8,0,0,0,Yvonne Ampiah Dadson (P),01/17-05/04,EHS 110,Credit from 4-Year College
NR,13056,NFS,1240,D01,24M,3,Principles of Nutrition,,TBA,30,29,1,0,0,0,Deborah Kaye Goddard (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,14694,NFS,1240,D02,24M,3,Principles of Nutrition,,TBA,30,30,0,0,0,0,Deborah Kaye Goddard (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,17074,NFS,1240,D03,24M,3,Principles of Nutrition,,TBA,30,30,0,0,0,0,Sandra L Poirier (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,12193,NFS,2220,1,24M,3,Nutrition for the Health Sciences,MW,12:40 pm-02:05 pm,40,35,5,0,0,0,Virginia Rials Bogle (P),01/17-05/04,EHS 106,Credit from 4-Year College
NR,14120,NFS,2220,2,24M,3,Nutrition for the Health Sciences,T,09:40 am-11:05 am,65,62,3,0,0,0,Virginia Rials Bogle (P),01/17-05/04,EHS 106,Credit from 4-Year College
C,13254,NFS,2220,D01,24M,3,Nutrition for the Health Sciences,,TBA,30,30,0,0,0,0,Tracy Elizabeth Noerper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,15284,NFS,3000,1,24M,3,Nutrition Principles for Physical Activity and Health,R,06:00 pm-09:00 pm,48,38,10,0,0,0,Tiffany Moore Harrison (P),01/17-05/04,EHS 106,Credit from 4-Year College and Upper-Division Work
NR,15285,NFS,3000,D01,24M,3,Nutrition Principles for Physical Activity and Health,,TBA,30,29,1,0,0,0,Tiffany Moore Harrison (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,15490,NFS,3000,D02,24M,3,Nutrition Principles for Physical Activity and Health,,TBA,30,30,0,0,0,0,Tiffany Moore Harrison (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15974,NFS,3100,1,24M,3,Food and Culture in the United States,TR,09:40 am-11:05 am,33,24,9,0,0,0,Sandra L Poirier (P),01/17-05/04,EHS 110,Credit from 4-Year College and Upper-Division Work
C,14122,NFS,3100,D01,24M,3,Food and Culture in the United States,,TBA,30,30,0,0,0,0,Elowin Gluch Harper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12931,NFS,3100,D02,24M,3,Food and Culture in the United States,,TBA,30,32,-2,0,0,0,Sandra L Poirier (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12299,NFS,3260,D01,24M,3,Community Nutrition,,TBA,30,30,0,0,0,0,Tracy Elizabeth Noerper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13255,NFS,3280,1,24M,3,(EXL) Sports Nutrition,M,02:40 pm-05:40 pm,30,24,6,0,0,0,Lisa M Sheehan-Smith (P),01/17-05/04,EHS 113,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,12579,NFS,3280,D01,24M,3,Sports Nutrition,,TBA,30,30,0,0,0,0,Tracy Elizabeth Noerper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13878,NFS,4100,1,24M,3,Food Service Management for Culinary Arts,R,06:00 pm-09:00 pm,20,15,5,24,16,8,Elowin Gluch Harper (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,06:05 pm-09:00 pm,,,,,,,Elowin Gluch Harper (P),01/17-05/04,EHS 110,Credit from 4-Year College and Upper-Division Work
C,11563,NFS,4210,D01,24M,3,Nutrition in Aging,,TBA,25,25,0,0,0,0,Patty Thornton Poe (P),01/17-05/04,TBA TBA,Distance Learning and Gerontology (Aging Studies) and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13069,NFS,4210,D02,24M,3,Nutrition in Aging,,TBA,25,25,0,0,0,0,Patty Thornton Poe (P),01/17-05/04,TBA TBA,Distance Learning and Gerontology (Aging Studies) and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13167,NFS,4222,1,24M,4,(EXL) Dietetics Management,TR,01:00 pm-03:00 pm,31,23,8,0,0,0,Lisa M Sheehan-Smith (P),01/17-05/04,EHS 106,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,11564,NFS,4240,1,24M,3,Experimental Food Study,MW,12:40 pm-01:35 pm,15,15,0,30,31,-1,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,12:45 pm-01:35 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,01:50 pm-03:50 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,01:55 pm-03:50 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
C,12330,NFS,4240,2,24M,3,Experimental Food Study,MW,12:40 pm-01:35 pm,15,16,-1,30,31,-1,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,12:45 pm-01:35 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,01:50 pm-03:50 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,01:55 pm-03:50 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
C,14124,NFS,4240,3,24M,3,Experimental Food Study,TR,01:00 pm-01:55 pm,15,16,-1,30,32,-2,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,01:05 pm-01:55 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:20 pm-04:20 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:25 pm-04:20 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
C,14125,NFS,4240,4,24M,3,Experimental Food Study,TR,01:00 pm-01:55 pm,15,16,-1,30,32,-2,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,01:05 pm-01:55 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:20 pm-04:20 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 107,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:25 pm-04:20 pm,,,,,,,Cynthia Denise Ayers (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
NR,12959,NFS,4250,1,24M,3,Maternal and Child Nutrition,TR,01:00 pm-02:25 pm,30,17,13,0,0,0,Janet M Colson (P),01/17-05/04,EHS 110,Credit from 4-Year College and Upper-Division Work
C,11565,NFS,4251,D01,24M,3,Nutrition for the Young Child,,TBA,30,30,0,0,0,0,Tracy Elizabeth Noerper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,15286,NFS,4251,D02,24M,3,Nutrition for the Young Child,,TBA,30,30,0,0,0,0,Tracy Elizabeth Noerper (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
