Sections Found,,,,,,,,,,,,,,,,,,,
NURS-Nursing,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10665,NURS,3000,1,24M,1,Professionalism in Nursing,W,01:10 pm-02:15 pm,70,62,8,0,0,0,Barbara Whitman Lancaster (P),01/17-05/04,CKNB 121,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10666,NURS,3010,1,24M,3,Pathophysiology,F,08:00 am-11:15 am,80,79,1,0,0,0,Garrett Paul Salmon (P),01/17-05/04,CKNB N119,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10668,NURS,3030,1,24M,3,Health Assessment,M,08:00 am-11:15 am,72,71,1,0,0,0,Geeta Maharaj (P),01/17-05/04,CKNB N119,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10669,NURS,3030,D01,24M,3,Health Assessment,,TBA,25,9,16,0,0,0,Sharon A Van Wicklin (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10670,NURS,3040,1,24M,1,Health Assessment Laboratory,,TBA,72,66,6,0,0,0,"Yvonne Marie Creighton (P), Lisa M Cejka",01/17-05/04,TBA TBA,Must have Permission to Drop and Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10671,NURS,3040,D01,24M,1,Health Assessment Laboratory,,TBA,25,9,16,0,0,0,Sharon A Van Wicklin (P),01/17-05/04,TBA TBA,Distance Learning and Must have Permission to Drop and Distance Education Fee-UG and Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,16630,NURS,3041,1,24M,1,Clinical Skills Lab,W,02:30 pm-04:40 pm,70,33,37,0,0,0,"Michelle Lynn Finch (P), Amy Riddle Ayer , Victoria Fritscher Daniels",01/17-05/04,CKNB 121,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,16631,NURS,3041,2,24M,1,Clinical Skills Lab,T,02:30 pm-04:40 pm,70,32,38,0,0,0,"Geeta Maharaj (P), Amy Riddle Ayer , Victoria Fritscher Daniels , Michelle Lynn Finch",01/17-05/04,CKNB N119,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
C,16632,NURS,3042,1,24M,1,Basic Dosage Calculation,W,12:00 pm-12:55 pm,70,70,0,0,0,0,Garrett Paul Salmon (P),01/17-05/04,CKNB 121,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10673,NURS,3170,1,24M,3,Clinical Pharmacology in Nursing,M,08:00 am-11:15 am,76,46,30,0,0,0,Sherri Linn Stevens (P),01/17-05/04,CKNB N116,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10674,NURS,3170,D01,24M,3,Clinical Pharmacology in Nursing,,TBA,25,8,17,0,0,0,Carolyn Daves Hix (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,16361,NURS,3350,1,24M,4,Introduction to Nursing Practice,W,08:00 am-12:20 pm,70,46,24,0,0,0,"Michelle Lynn Finch (P), Stacey G Browning",01/17-05/04,CKNB N116,Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
NR,10676,NURS,3360,1,24M,3,(EXL) Introduction to Nursing Practice-Clinical,,TBA,70,46,24,0,0,0,"Joyce Anne Finch (P), E Cherese Brooks , Stacey G Browning , Lisa M Cejka , Leigh Ann Krabousanos , Angela Niznik Morehead , William Todd Vickrey",01/17-05/04,TBA TBA,Experiential Learning and Must have Permission to Drop and Nursing Upper Div - GR Fee and Nursing Testing Fees and Credit from 4-Year College and Upper-Division Work
