Sections Found,,,,,,,,,,,,,,,,,,,
ORCO-Organizational Comm,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,14104,ORCO,3050,1,24M,3,(EXL)Listening,MWF,10:20 am-11:15 am,18,18,0,28,28,0,Janet Kay McCormick (P),01/17-05/04,BDA 314,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,11866,ORCO,3240,1,24M,3,(EXL)Introduction to Organizational Communication,TR,01:00 pm-02:25 pm,28,28,0,0,0,0,Mary E Asbury (P),01/17-05/04,BDA 214,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,16389,ORCO,3240,2,24M,3,(EXL)Introduction to Organizational Communication,MW,02:20 pm-03:45 pm,28,28,0,0,0,0,Elizabeth Dortch Dalton (P),01/17-05/04,BAS S277,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,16388,ORCO,3240,3,24M,3,(EXL)Introduction to Organizational Communication,MW,12:40 pm-02:05 pm,28,28,0,0,0,0,Elizabeth Dortch Dalton (P),01/17-05/04,BDA 320,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,12543,ORCO,3240,D01,24M,3,(EXL)Introduction to Organizational Communication,,TBA,30,30,0,0,0,0,Elizabeth Stephens (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12893,ORCO,3240,D02,24M,3,(EXL)Introduction to Organizational Communication,,TBA,30,29,1,0,0,0,Elizabeth Stephens (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12221,ORCO,3240,R50,24R,3,Organizational Communication,,TBA,0,9,-9,0,0,0,"RODP Faculty (P), Lindsey M Bier , Debra Sue Boyd",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,17008,ORCO,3245,1,24M,3,"Women, Leadership, and Communication",TR,01:00 pm-02:25 pm,25,25,0,0,0,0,Bethany A Hoppe (P),01/17-05/04,BDA 320,Global Studies-Gender and Credit from 4-Year College and Upper-Division Work
NR,11187,ORCO,3250,1,24M,3,(EXL)Organizational Communication in Communities,MW,12:40 pm-02:05 pm,28,23,5,0,0,0,Lori Ann Kissinger (P),01/17-05/04,BDA 214,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,16390,ORCO,3250,2,24M,3,(EXL)Organizational Communication in Communities,TR,11:20 am-12:45 pm,28,24,4,0,0,0,Elizabeth Dortch Dalton (P),01/17-05/04,BDA 214,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,13243,ORCO,3250,D01,24M,3,(EXL)Organizational Communication in Communities,,TBA,30,30,0,0,0,0,Debra Sue Boyd (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,14105,ORCO,3250,D02,24M,3,(EXL)Organizational Communication in Communities,,TBA,30,26,4,0,0,0,Sharon Seaton Smith (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14106,ORCO,3340,1,24M,3,(EXL)Interview Communication,TR,09:40 am-11:05 am,27,27,0,0,0,0,Janet Kay McCormick (P),01/17-05/04,BDA 314,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,16174,ORCO,3340,3,24M,3,(EXL)Interview Communication,TR,11:20 am-12:45 pm,20,19,1,0,0,0,DeAnne M Priddis (P),01/17-05/04,BDA 320,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14110,ORCO,3340,D01,24M,3,(EXL)Interview Communication,,TBA,30,29,1,0,0,0,Elizabeth Stephens (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,14983,ORCO,3500,1,24M,3,(EXL)Strategic Communication in Organizations,MW,02:20 pm-03:45 pm,30,9,21,0,0,0,Andrew C Dix (P),01/17-05/04,BDA 314,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,16392,ORCO,3500,2,24M,3,(EXL)Strategic Communication in Organizations,TR,01:00 pm-02:25 pm,20,20,0,0,0,0,Janet Kay McCormick (P),01/17-05/04,BDA 314,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,12895,ORCO,3500,D01,24M,3,(EXL)Strategic Communication in Organizations,,TBA,25,25,0,0,0,0,Xiaowei Shi (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,11188,ORCO,3500,D02,24M,3,(EXL)Strategic Communication in Organizations,,TBA,27,26,1,0,0,0,Elizabeth Stephens (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13244,ORCO,3650,1,24M,3,(EXL)Conflict and Organizations,MW,02:20 pm-03:45 pm,30,30,0,0,0,0,L'Oreal Jarvis Stephens (P),01/17-05/04,BDA 320,Experiential Learning and Credit from 4-Year College and Upper-Division Work
