Sections Found,,,,,,,,,,,,,,,,,,,
PHED-Physical Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,16497,PHED,1020,1,24M,1,Beginning Social Dance,TR,02:40 pm-03:35 pm,20,16,4,0,0,0,Francisco J Ramos Grasa (P),01/17-05/04,MC DS-A,Credit from 4-Year College
NR,12147,PHED,1020,11,24M,1,Beginning Social Dance,TR,04:20 pm-05:15 pm,20,17,3,0,0,0,Francisco J Ramos Grasa (P),01/17-05/04,MC DS-A,Credit from 4-Year College
C,10568,PHED,1080,1,24M,1,Beginning Bowling,M,02:40 pm-04:30 pm,22,22,0,0,0,0,"Beverly K Clanton (P), Darrell J Bernd",01/17-05/04,MC AR-B,Credit from 4-Year College
NR,10569,PHED,1080,5,24M,1,Beginning Bowling,W,04:45 pm-06:35 pm,24,22,2,0,0,0,"Beverly K Clanton (P), Darrell J Bernd",01/17-05/04,MC AR-B,Credit from 4-Year College
NR,13484,PHED,1120,2,24M,1,Backpacking and Hiking,W,03:00 pm-04:50 pm,18,17,1,0,0,0,"Beverly K Clanton (P), Sarah Collins , John N Ruhl",01/17-05/04,AMG 210,Credit from 4-Year College
NR,14407,PHED,1170,1,24M,1,Beginning Racquetball,TR,09:40 am-10:35 am,12,7,5,0,0,0,"Beverly K Clanton (P), Kellie Lynn Kosar",01/17-05/04,MC AR-C,Credit from 4-Year College
NR,12777,PHED,1170,4,24M,1,Beginning Racquetball,TR,11:20 am-12:15 pm,12,11,1,0,0,0,"Beverly K Clanton (P), Kellie Lynn Kosar",01/17-05/04,MC AR-C,Credit from 4-Year College
NR,10581,PHED,1180,3,24M,1,Aerobic Walking,MW,12:40 pm-01:35 pm,14,11,3,0,0,0,"Beverly K Clanton (P), Sarah Hogstrom Standridge",01/17-05/04,AMG 204,Credit from 4-Year College
NR,10582,PHED,1180,4,24M,1,Aerobic Walking,TR,01:00 pm-01:55 pm,25,24,1,0,0,0,Tayler Deane Redinger (P),01/17-05/04,MC AR-A,Credit from 4-Year College
NR,12148,PHED,1180,7,24M,1,Aerobic Walking,TR,11:20 am-12:15 pm,25,23,2,0,0,0,Tayler Deane Redinger (P),01/17-05/04,MC AR-A,Credit from 4-Year College
