Sections Found,,,,,,,,,,,,,,,,,,,
PHIL-Philosophy (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10096,PHIL,1030,1,24M,3,Introduction to Philosophy,MWF,09:10 am-10:05 am,29,29,0,0,0,0,Michael R Hinz (P),01/17-05/04,JUB 204,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10097,PHIL,1030,2,24M,3,Introduction to Philosophy,MWF,10:20 am-11:15 am,35,32,3,0,0,0,Michael R Hinz (P),01/17-05/04,BAS S277,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10098,PHIL,1030,3,24M,3,Introduction to Philosophy,MWF,11:30 am-12:25 pm,35,27,8,0,0,0,Michael R Hinz (P),01/17-05/04,BAS S272,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,12784,PHIL,1030,4,24M,3,Introduction to Philosophy,MWF,11:30 am-12:25 pm,35,23,12,0,0,0,Michael A Principe (P),01/17-05/04,BAS S274,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10099,PHIL,1030,5,24M,3,Introduction to Philosophy,MWF,12:40 pm-01:35 pm,35,33,2,0,0,0,Michael A Principe (P),01/17-05/04,SAG 209,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10100,PHIL,1030,6,24M,3,Introduction to Philosophy,MWF,01:50 pm-02:45 pm,35,21,14,0,0,0,Michael A Principe (P),01/17-05/04,SAG 209,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10101,PHIL,1030,7,24M,3,Introduction to Philosophy,TR,09:40 am-11:05 am,35,34,1,0,0,0,Amjol Bahadur Shrestha (P),01/17-05/04,BAS S334,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,10102,PHIL,1030,8,24M,3,Introduction to Philosophy,TR,09:40 am-11:05 am,29,29,0,0,0,0,James P Oliver (P),01/17-05/04,JUB 204,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,10106,PHIL,1030,9,24M,3,Introduction to Philosophy,TR,01:00 pm-02:25 pm,30,28,2,0,0,0,James P Oliver (P),01/17-05/04,JUB 202,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,10104,PHIL,1030,10,24M,3,Introduction to Philosophy,TR,02:40 pm-04:05 pm,35,35,0,0,0,0,James P Oliver (P),01/17-05/04,BAS S330,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
