Sections Found,,,,,,,,,,,,,,,,,,,
PHOT-Photography,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,13702,PHOT,1050,1,24M,3,Basic Digital Photography and Imaging,TR,09:40 am-11:05 am,18,18,0,0,0,0,Charles Anton Arlund (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College
NR,13703,PHOT,1050,2,24M,3,Basic Digital Photography and Imaging,TR,11:20 am-12:45 pm,18,17,1,0,0,0,Charles Anton Arlund (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College
NR,13686,PHOT,1050,4,24M,3,Basic Digital Photography and Imaging,M,06:00 pm-09:00 pm,18,17,1,0,0,0,Julia Estelle Steele (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College
C,15273,PHOT,1050,5,24M,3,Basic Digital Photography and Imaging,W,06:00 pm-09:00 pm,18,18,0,0,0,0,John Thomas Collins (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College
NR,10898,PHOT,2050,1,24M,3,Basic Black and White Photography,F,12:40 pm-03:40 pm,18,16,2,0,0,0,Julia Estelle Steele (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,,TBA,,,,,,,Julia Estelle Steele (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College
C,16690,PHOT,2050,2,24M,3,Basic Black and White Photography,W,02:40 pm-05:40 pm,18,18,0,0,0,0,Jonathan Coulter Trundle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,,TBA,,,,,,,Jonathan Coulter Trundle (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College
NR,10899,PHOT,2050,3,24M,3,Basic Black and White Photography,TR,09:40 am-11:05 am,18,14,4,0,0,0,Jacqueline K Heigle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,,TBA,,,,,,,Jacqueline K Heigle (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College
NR,10900,PHOT,2050,4,24M,3,Basic Black and White Photography,TR,11:20 am-12:45 pm,18,11,7,0,0,0,Jacqueline K Heigle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,,TBA,,,,,,,Jacqueline K Heigle (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College
C,10901,PHOT,3110,1,24M,3,Intermediate Photography I,W,02:40 pm-05:40 pm,18,18,0,0,0,0,Thomas P Jimison (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,,TBA,,,,,,,Thomas P Jimison (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15602,PHOT,3120,1,24M,3,Intermediate Photography II,T,02:40 pm-05:40 pm,15,11,4,0,0,0,Jonathan Coulter Trundle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16920,PHOT,3120,2,24M,3,Intermediate Photography II,R,02:40 pm-05:40 pm,15,8,7,0,0,0,Jonathan Coulter Trundle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10903,PHOT,3200,1,24M,3,Still Digital Imaging,MW,12:40 pm-02:05 pm,16,18,-2,0,0,0,Jacqueline K Heigle (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10904,PHOT,3580,1,24M,1,Photography Practicum,,TBA,5,3,2,0,0,0,Thomas P Jimison (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10905,PHOT,3580,3,24M,3,Photography Practicum,,TBA,5,5,0,0,0,0,Thomas P Jimison (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10906,PHOT,4040,1,24M,3,Color Photo Communication II,F,12:40 pm-03:40 pm,18,14,4,0,0,0,Jonathan Coulter Trundle (P),01/17-05/04,MB 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,,TBA,,,,,,,Jonathan Coulter Trundle (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16692,PHOT,4290,1,24M,3,Documentary Photography,MWF,11:30 am-12:25 pm,18,15,3,0,0,0,Jacqueline K Heigle (P),01/17-05/04,MB 122,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
