Sections Found,,,,,,,,,,,,,,,,,,,
PHYS-Physics (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11984,PHYS,1030,R50,65R,4,Concepts of Physics and Lab,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Natural Sci RODP and Credit from 4-Year College
NR,13545,PHYS,1110,2,24M,4,Discovering Physics,MW,09:10 am-10:05 am,24,21,3,0,0,0,Janaruth H Ford (P),01/17-05/04,WPS 202,Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
,,,,,,,,TR,09:40 am-10:35 am,,,,,,,Janaruth H Ford (P),01/17-05/04,WPS 202,Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,10282,PHYS,2010,1,24M,0,Non-Calculus-Based Physics I,W,04:10 pm-05:35 pm,216,216,0,0,0,0,Nathanael Smith (P),01/17-05/04,BAS S102,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
C,15249,PHYS,2010,2,24M,0,Non-Calculus-Based Physics I,,TBA,24,24,0,0,0,0,Brian W Frank (P),01/17-05/04,TBA TBA,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
,,,,,,,,M,09:10 am-10:35 am,,,,,,,Brian W Frank (P),02/06-02/06,WPS 200,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
,,,,,,,,M,09:10 am-10:35 am,,,,,,,Brian W Frank (P),02/27-02/27,WPS 200,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
,,,,,,,,M,09:10 am-10:35 am,,,,,,,Brian W Frank (P),03/20-03/20,WPS 200,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
,,,,,,,,M,09:10 am-10:35 am,,,,,,,Brian W Frank (P),04/17-04/17,WPS 200,Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
NR,12985,PHYS,2010,J01,M2A,0,Non-Calculus-Based Physics I,,TBA,25,12,13,0,0,0,Mark M LaPorte (P),01/17-05/04,M2A LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
NR,17143,PHYS,2010,J02,M2A,0,Non-Calculus-Based Physics I,,TBA,25,23,2,0,0,0,Mark M LaPorte (P),01/17-05/04,M2A LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
NR,17145,PHYS,2010,J03,M2A,0,Non-Calculus-Based Physics I,,TBA,25,22,3,0,0,0,Mark M LaPorte (P),01/17-05/04,M2A LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Gen Ed - Natural Science Block and Credit from 4-Year College
C,10285,PHYS,2011,1,24M,4,Physics Problems Laboratory I,TR,08:00 am-10:30 am,24,24,0,0,0,0,Shruti Shrestha (P),01/17-05/04,WPS 314,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,10286,PHYS,2011,2,24M,4,Physics Problems Laboratory I,TR,11:20 am-01:50 pm,24,24,0,0,0,0,Nathanael Smith (P),01/17-05/04,WPS 314,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,10287,PHYS,2011,3,24M,4,Physics Problems Laboratory I,TR,02:40 pm-05:10 pm,24,24,0,0,0,0,Irina Anatolievna Perevalova (P),01/17-05/04,WPS 314,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,12161,PHYS,2011,4,24M,4,Physics Problems Laboratory I,WF,08:00 am-11:00 am,24,24,0,0,0,0,Brian W Frank (P),01/17-05/04,WPS 315,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,14297,PHYS,2011,5,24M,4,Physics Problems Laboratory I,WF,11:30 am-02:00 pm,24,24,0,0,0,0,Janaruth H Ford (P),01/17-05/04,WPS 314,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,13706,PHYS,2011,6,24M,4,Physics Problems Laboratory I,TR,08:00 am-10:30 am,24,24,0,0,0,0,Irina Anatolievna Perevalova (P),01/17-05/04,WPS 316,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,10283,PHYS,2011,7,24M,4,Physics Problems Laboratory I,TR,11:20 am-01:50 pm,24,24,0,0,0,0,Saeed Kamali Moghaddam (P),01/17-05/04,WPS 316,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
