Sections Found,,,,,,,,,,,,,,,,,,,
PR-Public Relations,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13672,PR,2040,1,24M,3,Public Relations Principles,MW,02:20 pm-03:45 pm,77,54,23,0,0,0,Hanna Park (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and Credit from 4-Year College
C,10889,PR,3360,1,24M,3,Strategic Communication Writing for Public Relations,MW,02:20 pm-03:45 pm,16,16,0,0,0,0,Cary Ann Greenwood (P),01/17-05/04,BRAGG 270,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10890,PR,3360,2,24M,3,(EXL) Public Relations Communication,TR,01:00 pm-02:25 pm,18,19,-1,0,0,0,Sharon Holt Fitzgerald (P),01/17-05/04,BRAGG 150,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10891,PR,3360,3,24M,3,(EXL) Public Relations Communication,TR,09:40 am-11:05 am,16,18,-2,0,0,0,Sharon Holt Fitzgerald (P),01/17-05/04,BRAGG 150,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,15311,PR,3380,1,24M,3,Public Relations Publications,TR,02:40 pm-04:05 pm,18,18,0,0,0,0,Sharon Holt Fitzgerald (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10892,PR,3380,2,24M,3,Public Relations Publications,TR,04:20 pm-05:45 pm,18,18,0,0,0,0,Sharon Holt Fitzgerald (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10893,PR,3380,3,24M,3,Public Relations Publications,MW,04:10 pm-05:35 pm,16,8,8,0,0,0,Andrea L Phillips (P),01/17-05/04,BRAGG 270,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,14026,PR,3400,2,24M,3,Case Studies in Public Relations,MW,12:40 pm-02:05 pm,20,20,0,0,0,0,Andrea L Phillips (P),01/17-05/04,BRAGG 151,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10894,PR,4740,1,24M,3,(EXL) Public Relations Campaigns,M,04:30 pm-07:30 pm,20,15,5,0,0,0,Cary Ann Greenwood (P),01/17-05/04,BRAGG 151,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10895,PR,4740,2,24M,3,(EXL) Public Relations Campaigns,W,04:30 pm-07:30 pm,20,17,3,0,0,0,Cary Ann Greenwood (P),01/17-05/04,BRAGG 151,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,14606,PR,4740,3,24M,3,Public Relations Campaigns,TR,02:40 pm-04:05 pm,4,4,0,16,10,6,John V Bodle (P),01/17-05/04,BRAGG 270,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
