Sections Found,,,,,,,,,,,,,,,,,,,
PS -Political Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13607,PS,1005,1,24M,3,Introduction to American Politics,MWF,09:10 am-10:05 am,25,24,1,0,0,0,Lisa G Langenbach (P),01/17-05/04,PH 212,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13447,PS,1005,2,24M,3,Introduction to American Politics,MW,02:20 pm-03:45 pm,25,25,0,0,0,0,Sekou Macec-Mustafa Franklin (P),01/17-05/04,PH 212,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,15592,PS,1005,3,24M,3,Introduction to American Politics,TR,08:00 am-09:25 am,36,25,11,0,0,0,Stephen Leslie Robertson (P),01/17-05/04,PH 211,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13448,PS,1005,4,24M,3,Introduction to American Politics,TR,11:20 am-12:45 pm,36,32,4,0,0,0,Stephen Leslie Robertson (P),01/17-05/04,PH 211,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13609,PS,1005,5,24M,3,(EXL)Introduction to American Politics,TR,02:40 pm-04:05 pm,36,29,7,0,0,0,James Kent Syler (P),01/17-05/04,PH 211,Experiential Learning and Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,17595,PS,1005,6,24M,3,Introduction to American Politics,MWF,10:20 am-11:15 am,17,5,12,20,8,12,Robb A McDaniel (P),01/17-05/04,PH 212,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12616,PS,1005,D01,24M,3,Introduction to American Politics,,TBA,25,24,1,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14130,PS,1005,H01,24M,3,(HONORS)American Government and Politics,MWF,10:20 am-11:15 am,3,3,0,20,8,12,Robb A McDaniel (P),01/17-05/04,PH 212,University Honors and Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14486,PS,1010,1,24M,3,Introduction to Global Politics,MWF,09:10 am-10:05 am,36,10,26,0,0,0,Cassiah Nicole Stinson (P),01/17-05/04,PH 211,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10140,PS,1010,2,24M,3,Introduction to Global Politics,MWF,10:20 am-11:15 am,36,34,2,0,0,0,Cassiah Nicole Stinson (P),01/17-05/04,PH 211,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10141,PS,1010,3,24M,3,Introduction to Global Politics,TR,08:00 am-09:25 am,28,21,7,0,0,0,Steve R Saunders (P),01/17-05/04,PH 215,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13248,PS,1010,4,24M,3,Introduction to Global Politics,TR,11:20 am-12:45 pm,28,28,0,0,0,0,Steve R Saunders (P),01/17-05/04,PH 215,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13249,PS,1010,5,24M,3,Introduction to Global Politics,TR,01:00 pm-02:25 pm,25,25,0,0,0,0,Steve R Saunders (P),01/17-05/04,PH 215,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10142,PS,1010,D01,24M,3,Introduction to Global Politics,,TBA,20,19,1,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,15815,PS,2000,D01,24M,1,Political Science and International Relations as a Profession,,TBA,15,15,0,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,15971,PS,2000,D02,24M,1,Political Science and International Relations as a Profession,,TBA,15,15,0,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,17347,PS,2000,D03,24M,1,Political Science and International Relations as a Profession,,TBA,9,13,-4,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,12733,PS,2020,D01,24M,3,State and Local Government,,TBA,20,20,0,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,14131,PS,2100,1,24M,1,(EXL)Legal Courtroom Procedure,R,06:00 pm-09:00 pm,36,4,32,46,5,41,Jennifer R Woodward (P),01/17-05/04,PH 211,Experiential Learning and Credit from 4-Year College
,,,,,,,,R,06:05 pm-09:00 pm,,,,,,,Jennifer R Woodward (P),01/17-05/04,PH 212,Experiential Learning and Credit from 4-Year College
NR,16545,PS,2100,H01,24M,1,(HONORS) Legal Courtroom Procedure,R,06:00 pm-09:00 pm,10,1,9,46,5,41,John R Vile (P),01/17-05/04,PH 211,University Honors and Credit from 4-Year College
,,,,,,,,R,06:05 pm-09:00 pm,,,,,,,John R Vile (P),01/17-05/04,PH 212,University Honors and Credit from 4-Year College
NR,14460,PS,2130,1,24M,1,(EXL)Model United Nations and Crisis Simulation,T,04:20 pm-05:45 pm,25,7,18,0,0,0,Vanessa Ann Lefler (P),01/17-05/04,PH 212,Experiential Learning and Credit from 4-Year College
NR,15999,PS,2440,1,24M,3,Law and the Legal System,MW,12:40 pm-02:05 pm,36,27,9,0,0,0,Donald E Campbell (P),01/17-05/04,PH 211,Credit from 4-Year College
NR,12482,PS,2440,2,24M,3,Law and the Legal System,TR,08:00 am-09:25 am,25,9,16,0,0,0,Donald E Campbell (P),01/17-05/04,PH 212,Credit from 4-Year College
NR,12617,PS,2440,3,24M,3,Law and the Legal System,M,06:00 pm-09:00 pm,36,12,24,0,0,0,Christopher Alan Beverly (P),01/17-05/04,PH 211,Credit from 4-Year College
NR,12483,PS,3001,1,24M,3,Research Methods in Political Science,MW,12:40 pm-02:05 pm,20,16,4,0,0,0,David Edward Carleton (P),01/17-05/04,PH 205,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
C,13127,PS,3001,2,24M,3,Research Methods in Political Science,TR,09:40 am-11:05 am,15,19,-4,0,0,0,David Edward Carleton (P),01/17-05/04,PH 205,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,15104,PS,3160,1,24M,3,American Public Policy,MWF,11:30 am-12:25 pm,25,23,2,0,0,0,Lisa G Langenbach (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
C,15105,PS,3210,1,24M,3,International Relations,TR,01:00 pm-02:25 pm,25,25,0,0,0,0,Vanessa Ann Lefler (P),01/17-05/04,PH 205,Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,13614,PS,3220,1,24M,3,Comparative Politics,MWF,09:10 am-10:05 am,28,22,6,0,0,0,Zhen Wang (P),01/17-05/04,PH 215,Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,16546,PS,3220,2,24M,3,Comparative Politics,MWF,10:20 am-11:15 am,28,25,3,0,0,0,Zhen Wang (P),01/17-05/04,PH 215,Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,13616,PS,3250,1,24M,3,Public Administration,TR,09:40 am-11:05 am,28,24,4,0,0,0,George Vernardakis (P),01/17-05/04,PH 215,Credit from 4-Year College and Upper-Division Work
C,15112,PS,3320,D01,24M,3,Public Opinion,,TBA,20,20,0,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15113,PS,3340,1,24M,3,(EXL)Political Campaign Management.,TR,04:20 pm-05:45 pm,36,30,6,0,0,0,James Kent Syler (P),01/17-05/04,PH 211,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,12484,PS,3380,1,24M,3,American Constitutional Law,MW,02:20 pm-03:45 pm,36,33,3,0,0,0,Jennifer R Woodward (P),01/17-05/04,PH 211,Credit from 4-Year College and Upper-Division Work
NR,13618,PS,3380,2,24M,3,American Constitutional Law,TR,08:00 am-09:25 am,28,14,14,0,0,0,Jennifer R Woodward (P),01/17-05/04,PH 205,Credit from 4-Year College and Upper-Division Work
C,14133,PS,3420,1,24M,3,African American Politics,MW,12:40 pm-02:05 pm,15,16,-1,35,18,17,Sekou Macec-Mustafa Franklin (P),01/17-05/04,PH 212,African American Studies and Credit from 4-Year College and Upper-Division Work
C,14518,PS,3510,R50,24R,3,International Political Economy,,TBA,0,11,-11,0,0,0,"RODP Faculty (P), Steven Greene Livingston",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,15117,PS,3530,1,24M,3,Legal Writing and Research,M,06:00 pm-09:00 pm,25,8,17,0,0,0,Darwin K Colston (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
NR,13619,PS,3530,2,24M,3,Legal Writing and Research,TR,01:00 pm-02:25 pm,36,35,1,0,0,0,Donald E Campbell (P),01/17-05/04,PH 211,Credit from 4-Year College and Upper-Division Work
NR,13622,PS,3910,1,24M,3,International Organization,TR,02:40 pm-04:05 pm,28,15,13,0,0,0,George Vernardakis (P),01/17-05/04,PH 215,Credit from 4-Year College and Upper-Division Work
C,12270,PS,4030,1,24M,3,Human Rights,T,02:40 pm-05:40 pm,15,15,0,20,18,2,John W Maynor (P),01/17-05/04,PH 319,Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,10215,PS,4040,1,24M,3,(EXL) Pre-Law Internship,,TBA,10,2,8,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,12639,PS,4180,1,24M,3,African Politics,MW,12:40 pm-02:05 pm,23,12,11,0,0,0,Moses K Tesi (P),01/17-05/04,PH 215,African American Studies and Credit from 4-Year College and Upper-Division Work
C,17426,PS,4200,1,24M,3,Problems in Government:Chinese Politics,,TBA,1,1,0,0,0,0,Zhen Wang (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17643,PS,4200,2,24M,3,Problems in Government:American Foreign Policy,,TBA,1,1,0,0,0,0,Andrei Vladimir Korobkov (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17659,PS,4200,3,24M,3,Problems in Government:Political Status of Women,,TBA,1,1,0,0,0,0,Stephen Leslie Robertson (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,13623,PS,4260,1,24M,3,The Political Status of Women in the World,TR,02:40 pm-04:05 pm,20,21,-1,0,0,0,Stephen Leslie Robertson (P),01/17-05/04,COE 240,Women's & Gender Studies and Global Studies-Gender and Credit from 4-Year College and Upper-Division Work
NR,10220,PS,4270,1,24M,3,"(EXL)Political Campaign, NGO, and Interest Group Internship",,TBA,10,5,5,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,10223,PS,4270,2,24M,6,"(EXL)Political Campaign, NGO, and Interest Group Internship",,TBA,10,4,6,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,12088,PS,4280,1,24M,12,(EXL) The Washington Experience,,TBA,10,4,6,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,10225,PS,4290,1,24M,3,(EXL) Public Service Internship,,TBA,10,3,7,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,10226,PS,4290,2,24M,6,(EXL)Public Service Internship,,TBA,10,1,9,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14743,PS,4290,3,24M,3,(EXL)Public Service Internship:Legislative Interns,,TBA,10,2,8,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14744,PS,4290,5,24M,9,(EXL)Public Service Internship:Legislative Interns,,TBA,10,2,8,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,10232,PS,4360,1,24M,12,(EXL) Legislative Internship,,TBA,10,6,4,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,13624,PS,4590,1,24M,3,Administrative Law,MW,04:10 pm-05:35 pm,25,16,9,0,0,0,George Vernardakis (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
NR,16555,PS,4690,1,24M,3,International Relations of the Middle East,TR,09:40 am-11:05 am,24,15,9,25,16,9,Moses K Tesi (P),01/17-05/04,PH 212,Middle East Studies and Credit from 4-Year College and Upper-Division Work
C,14140,PS,4770,1,24M,3,Russian Politics,TR,11:20 am-12:45 pm,20,24,-4,25,25,0,Andrei Vladimir Korobkov (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
NR,12499,PS,4800,1,24M,3,(EXL) Senior Seminar,TR,11:20 am-12:45 pm,20,19,1,0,0,0,John W Maynor (P),01/17-05/04,PH 205,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,12509,PS,4800,2,24M,3,(EXL) Senior Seminar,TR,01:00 pm-02:25 pm,20,15,5,0,0,0,John W Maynor (P),01/17-05/04,PH 212,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14144,PS,4801,1,24M,3,Senior Seminar in International Relations,TR,02:40 pm-04:05 pm,20,10,10,0,0,0,Stephen David Morris (P),01/17-05/04,PH 205,Credit from 4-Year College and Upper-Division Work
NR,12640,PS,4820,1,24M,3,"(EXL)Adv Studies in Amer Politics:Advertising, Communication, and Comedy in Modern American Politics",W,06:00 pm-09:00 pm,22,13,9,36,22,14,James Kent Syler (P),01/17-05/04,PH 211,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,16806,PS,4850,S01,24M,3,(Study Abroad)Advanced Studies in Comparative Politics:Cuba in the 21st Century,,TBA,10,4,6,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Study Abroad and Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,16556,PS,4860,1,24M,3,Advanced Studies in International Relations:International Migration,MW,02:20 pm-03:45 pm,27,13,14,0,0,0,Andrei Vladimir Korobkov (P),01/17-05/04,PH 215,Global Studies-Governance and Credit from 4-Year College and Upper-Division Work
NR,16557,PS,4870,1,24M,3,Advanced Studies in Political Theory:Totalitarianism,TR,02:40 pm-04:05 pm,24,9,15,25,10,15,Robb A McDaniel (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
NR,10236,PS,4920,1,24M,3,Modern Political Theory,TR,09:40 am-11:05 am,36,35,1,0,0,0,Robb A McDaniel (P),01/17-05/04,PH 211,Great Books and Credit from 4-Year College and Upper-Division Work
C,17377,PS,4950,1,24M,3,(EXL)Community-Based Research Practicum:Citizen Journalism & Politics at the Grassroots,,TBA,3,4,-1,0,0,0,Sekou Macec-Mustafa Franklin (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,17423,PS,4970,1,24M,3,Undergraduate Research:Authoritarianism,T,04:30 pm-07:30 pm,1,1,0,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,14884,PS,5030,1,24M,3,Human Rights,T,02:40 pm-05:40 pm,2,3,-1,20,18,2,John W Maynor (P),01/17-05/04,PH 319,Credit from 4-Year College and Upper-Division Work
C,17516,PS,5200,1,24M,3,Problems in Government:Totalitarianism,TR,02:40 pm-04:05 pm,1,1,0,25,10,15,Robb A McDaniel (P),01/17-05/04,PH 212,
C,17574,PS,5360,1,24M,6,Legislative Internship,,TBA,1,1,0,0,0,0,David Edward Carleton (P),01/17-05/04,TBA TBA,
C,17578,PS,5690,1,24M,3,International Relations of the Middle East,TR,09:40 am-11:05 am,1,1,0,25,16,9,Moses K Tesi (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
C,14145,PS,5770,1,24M,3,Russian Politics,TR,11:20 am-12:45 pm,5,1,4,25,25,0,Andrei Vladimir Korobkov (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
C,17374,PS,6110,1,24M,3,International Security in a Changing World,TR,08:00 am-09:25 am,1,1,0,0,0,0,Vanessa Ann Lefler (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,15119,PS,6120,1,24M,3,"Peace and Conflict Resolution: Concepts, Processes, and Consequences",R,04:30 pm-07:30 pm,15,6,9,0,0,0,Vanessa Ann Lefler (P),01/17-05/04,PH 205,Credit from 4-Year College and Upper-Division Work
NR,13656,PS,6200,1,24M,3,Seminar in Comparative Politics,W,04:30 pm-07:30 pm,15,7,8,0,0,0,Stephen David Morris (P),01/17-05/04,PH 205,
NR,13681,PS,6210,1,24M,3,Global Political Economy and Globalization,M,04:30 pm-07:30 pm,15,5,10,0,0,0,Steven Greene Livingston (P),01/17-05/04,PH 205,Credit from 4-Year College and Upper-Division Work
NR,16558,PS,6220,1,24M,3,Seminar in International Development,T,04:30 pm-07:30 pm,15,3,12,0,0,0,Moses K Tesi (P),01/17-05/04,PH 205,Credit from 4-Year College and Upper-Division Work
NR,17174,PS,6250,S01,24M,3,Special Topics in International Development and Globalization:Cuba in the 21st Century,,TBA,10,4,6,0,0,0,Stephen David Morris (P),01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College and Upper-Division Work
C,17333,PS,6290,1,24M,6,Practicum in International Affairs,,TBA,1,1,0,0,0,0,Vanessa Ann Lefler (P),01/17-05/04,TBA TBA,
C,17386,PS,6290,2,24M,6,Practicum in International Affairs,,TBA,1,3,-2,0,0,0,Andrei Vladimir Korobkov (P),01/17-05/04,TBA TBA,
C,17354,PS,6640,1,24M,1,Thesis Research,,TBA,1,1,0,0,0,0,Andrei Vladimir Korobkov (P),01/17-05/04,TBA TBA,
