Sections Found,,,,,,,,,,,,,,,,,,,
PSCI-Physical Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,12046,PSCI,1010,R50,15R,4,Survey Of Physical Science I,,TBA,0,6,-6,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Natural Science and Credit from 4-Year College
C,12286,PSCI,1020,R50,15R,4,Survey Of Physical Science II.,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
NR,11095,PSCI,1030,1,24M,4,Topics in Physical Science,TR,02:40 pm-04:05 pm,100,64,36,0,0,0,Monique Rene Gibbs (P),01/17-05/04,SAG 125,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,11097,PSCI,1030,2,24M,4,Topics in Physical Science,MWF,11:30 am-12:25 pm,96,55,41,0,0,0,Chen Lin (P),01/17-05/04,SCI 1006,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,11101,PSCI,1030,3,24M,4,Topics in Physical Science,MWF,01:50 pm-02:45 pm,96,52,44,0,0,0,Allison Oxsher Wind (P),01/17-05/04,SCI 1006,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,14601,PSCI,1030,4,24M,4,Topics in Physical Science,TR,08:00 am-09:25 am,97,96,1,0,0,0,Shahrzad Toghraie (P),01/17-05/04,BAS S128,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,11103,PSCI,1030,5,24M,4,Topics in Physical Science,MW,06:00 pm-07:25 pm,48,9,39,0,0,0,Monique Rene Gibbs (P),01/17-05/04,SCI 1191,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,15835,PSCI,1030,6,24M,4,Topics in Physical Science,MWF,09:10 am-10:05 am,48,32,16,0,0,0,Chen Lin (P),01/17-05/04,BAS S324,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,11094,PSCI,1031,1,24M,0,Topics in Physical Science Lab,W,10:20 am-12:10 pm,24,23,1,0,0,0,Patricia M Patterson (P),01/17-05/04,SCI 1107,Gen Ed - Natural Science Block and Credit from 4-Year College
C,11102,PSCI,1031,2,24M,0,Topics in Physical Science Lab,M,12:40 pm-02:30 pm,24,24,0,0,0,0,"Allison Oxsher Wind (P), Sashil Chapagain",01/17-05/04,SCI 1107,Gen Ed - Natural Science Block and Credit from 4-Year College
NR,11096,PSCI,1031,3,24M,0,Topics in Physical Science Lab,W,03:00 pm-04:50 pm,24,20,4,0,0,0,"Allison Oxsher Wind (P), Tasha Marie Frick",01/17-05/04,SCI 1109,Gen Ed - Natural Science Block and Credit from 4-Year College
NR,14188,PSCI,1031,4,24M,0,Topics in Physical Science Lab,M,03:00 pm-04:50 pm,24,22,2,0,0,0,"Allison Oxsher Wind (P), Keshav Paudel",01/17-05/04,SCI 1107,Gen Ed - Natural Science Block and Credit from 4-Year College
C,11099,PSCI,1031,6,24M,0,Topics in Physical Science Lab,T,12:35 pm-02:25 pm,24,24,0,0,0,0,"Allison Oxsher Wind (P), Keshav Paudel",01/17-05/04,SCI 1107,Gen Ed - Natural Science Block and Credit from 4-Year College
NR,11100,PSCI,1031,7,24M,0,Topics in Physical Science Lab,M,08:00 am-09:50 am,24,21,3,0,0,0,"Allison Oxsher Wind (P), Robert M Green",01/17-05/04,SCI 1107,Gen Ed - Natural Science Block and Credit from 4-Year College
