Sections Found,,,,,,,,,,,,,,,,,,,
PSY-Psychology (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10002,PSY,1410,1,24M,3,General Psychology,MWF,10:20 am-11:15 am,100,73,27,0,0,0,Teresa L Davis (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10003,PSY,1410,3,24M,3,General Psychology,TR,02:40 pm-04:05 pm,125,56,69,0,0,0,Evelyn Blanch-Payne (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14027,PSY,1410,4,24M,3,General Psychology,MWF,09:10 am-10:05 am,52,52,0,0,0,0,Teresa L Davis (P),01/17-05/04,COE 149,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12414,PSY,1410,6,24M,3,General Psychology,MWF,11:30 am-12:25 pm,120,90,30,0,0,0,Corey M Teague (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10004,PSY,1410,7,24M,3,General Psychology,TR,09:40 am-11:05 am,74,73,1,0,0,0,Seth Jack Marshall (P),01/17-05/04,COE 164,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,11845,PSY,1410,9,24M,3,General Psychology,MW,12:40 pm-02:05 pm,74,74,0,0,0,0,Corey M Teague (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14029,PSY,1410,10,24M,3,General Psychology,MW,12:40 pm-02:05 pm,52,37,15,0,0,0,Evelyn Blanch-Payne (P),01/17-05/04,COE 153,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,11847,PSY,1410,11,24M,3,General Psychology,TR,11:20 am-12:45 pm,150,149,1,0,0,0,Catherine Elizabeth Crooks (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14330,PSY,1410,12,24M,3,General Psychology,TR,01:00 pm-02:25 pm,74,73,1,0,0,0,Seth Jack Marshall (P),01/17-05/04,COE 164,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10006,PSY,1410,D01,24M,3,General Psychology,,TBA,20,19,1,0,0,0,Catherine Elizabeth Crooks (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14028,PSY,1410,D02,24M,3,General Psychology,,TBA,20,18,2,0,0,0,Catherine Elizabeth Crooks (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12619,PSY,2000,2,24M,1,Seminar on Careers in Psychology,T,01:00 pm-01:55 pm,24,24,0,0,0,0,Richard G Moffett (P),01/17-05/04,COE 244,Credit from 4-Year College
C,12620,PSY,2000,3,24M,1,Seminar on Careers in Psychology,R,01:00 pm-01:55 pm,24,24,0,0,0,0,Richard G Moffett (P),01/17-05/04,COE 244,Credit from 4-Year College
NR,15921,PSY,2000,5,24M,1,Seminar on Careers in Psychology,MWF,10:20 am-11:15 am,32,23,9,0,0,0,Kimberly Jo Ujcich Ward (P),01/17-03/03,COE 253,Accelerated 1 Part of term and Credit from 4-Year College
NR,15922,PSY,2000,6,24M,1,Seminar on Careers in Psychology,MWF,09:10 am-10:05 am,32,26,6,0,0,0,Kimberly Jo Ujcich Ward (P),01/17-03/03,COE 249,Accelerated 1 Part of term and Credit from 4-Year College
NR,12184,PSY,2000,D02,24M,1,Seminar on Careers in Psychology,,TBA,20,18,2,0,0,0,"Linda S Galbato (P), Thomas M Brinthaupt",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,12185,PSY,2000,D03,24M,1,Seminar on Careers in Psychology,,TBA,20,19,1,0,0,0,"Linda S Galbato (P), Thomas M Brinthaupt",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,12621,PSY,2000,D04,24M,1,Seminar on Careers in Psychology,,TBA,20,17,3,0,0,0,"Linda S Galbato (P), Thomas M Brinthaupt",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,10007,PSY,2180,1,24M,3,Thinking: Intelligence and Creativity,TR,02:40 pm-04:05 pm,36,34,2,0,0,0,Greg W Schmidt (P),01/17-05/04,COE 249,Credit from 4-Year College
NR,10008,PSY,2190,1,24M,3,"Human Brain, Behavior, and Consciousness",TR,11:20 am-12:45 pm,24,23,1,0,0,0,Alan D Musicant (P),01/17-05/04,COE 102,Credit from 4-Year College
C,10009,PSY,2190,2,24M,3,"Human Brain, Behavior, and Consciousness",TR,01:00 pm-02:25 pm,35,35,0,0,0,0,Tiffany Danielle Rogers (P),01/17-05/04,COE 251,Credit from 4-Year College
NR,10010,PSY,2210,1,24M,3,Psychology of Social Behavior,MWF,10:20 am-11:15 am,74,63,11,0,0,0,Glenn E Littlepage (P),01/17-05/04,COE 164,Tutoring Courses and Credit from 4-Year College
NR,10011,PSY,2210,2,24M,3,Psychology of Social Behavior,MWF,11:30 am-12:25 pm,74,53,21,0,0,0,Glenn E Littlepage (P),01/17-05/04,COE 164,Tutoring Courses and Credit from 4-Year College
NR,13547,PSY,2210,3,24M,3,Psychology of Social Behavior,TR,02:40 pm-04:05 pm,74,50,24,0,0,0,Richard N Tillman (P),01/17-05/04,COE 164,Tutoring Courses and Credit from 4-Year College
C,14331,PSY,2210,4,24M,3,Psychology of Social Behavior,TR,01:00 pm-02:25 pm,40,41,-1,0,0,0,John T Pennington (P),01/17-05/04,COE 149,Tutoring Courses and Credit from 4-Year College
NR,11846,PSY,2210,5,24M,3,Psychology of Social Behavior,MW,04:10 pm-05:35 pm,40,27,13,0,0,0,Richard N Tillman (P),01/17-05/04,BAS S305,Tutoring Courses and Credit from 4-Year College
NR,15485,PSY,2300,1,24M,3,Developmental Psychology,MWF,09:10 am-10:05 am,45,34,11,0,0,0,Constance R Schmidt (P),01/17-05/04,COE 141,Credit from 4-Year College
NR,15486,PSY,2300,2,24M,3,Developmental Psychology,MWF,10:20 am-11:15 am,45,30,15,0,0,0,Constance R Schmidt (P),01/17-05/04,COE 141,Credit from 4-Year College
NR,16427,PSY,2300,5,24M,3,Developmental Psychology,MW,02:20 pm-03:45 pm,45,35,10,0,0,0,Jerry N Campbell (P),01/17-05/04,COE 153,Credit from 4-Year College
NR,12235,PSY,2300,6,24M,3,Developmental Psychology,TR,09:40 am-11:05 am,45,43,2,0,0,0,Jerry N Campbell (P),01/17-05/04,COE 145,Credit from 4-Year College
C,16428,PSY,2300,7,24M,3,Developmental Psychology,TR,11:20 am-12:45 pm,45,45,0,0,0,0,Jerry N Campbell (P),01/17-05/04,BAS S316,Credit from 4-Year College
C,12305,PSY,2300,D01,24M,3,Developmental Psychology,,TBA,20,20,0,0,0,0,Tiffany Danielle Rogers (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,12316,PSY,2300,D02,24M,3,Developmental Psychology,,TBA,25,24,1,0,0,0,Kenneth Wayne Gordon (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,13116,PSY,2300,D03,24M,3,Developmental Psychology,,TBA,20,18,2,0,0,0,Kenneth Wayne Gordon (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,16305,PSY,2300,D04,24M,3,Developmental Psychology,,TBA,20,20,0,0,0,0,Allison C McCormack (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,13549,PSY,2300,H02,24M,3,(HONORS) Developmental Psychology,MW,12:40 pm-02:05 pm,20,14,6,0,0,0,Teresa L Davis (P),01/17-05/04,COE 148,University Honors and Credit from 4-Year College
NR,15010,PSY,3020,1,24M,3,Basic Statistics for Behavioral Science,TR,09:40 am-11:05 am,24,23,1,0,0,0,Richard N Tillman (P),01/17-05/04,COE 245,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
C,16425,PSY,3020,2,24M,3,Basic Statistics for Behavioral Science,TR,11:20 am-12:45 pm,24,24,0,0,0,0,Richard N Tillman (P),01/17-05/04,COE 245,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
C,12124,PSY,3020,3,24M,3,Basic Statistics for Behavioral Science,MW,12:40 pm-02:05 pm,24,24,0,0,0,0,Stuart E Bernstein (P),01/17-05/04,COE 241,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,16426,PSY,3020,4,24M,3,Basic Statistics for Behavioral Science,MW,02:20 pm-03:45 pm,24,15,9,0,0,0,Richard N Tillman (P),01/17-05/04,COE 241,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,16918,PSY,3020,5,24M,3,Basic Statistics for Behavioral Science,MW,02:20 pm-03:45 pm,24,16,8,0,0,0,Ying Jin (P),01/17-05/04,COE 245,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,17454,PSY,3020,6,24M,3,Basic Statistics for Behavioral Science,TR,08:00 am-09:25 am,24,19,5,0,0,0,Ying Jin (P),01/17-05/04,COE 247,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,13554,PSY,3020,7,24M,3,Basic Statistics for Behavioral Science,MWF,11:30 am-12:25 pm,24,23,1,0,0,0,Stephen R Schmidt (P),01/17-05/04,COE 245,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,12125,PSY,3020,D01,24M,3,Basic Statistics for Behavioral Science,,TBA,25,24,1,0,0,0,Steven D Jones (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12126,PSY,3020,D02,24M,3,Basic Statistics for Behavioral Science,,TBA,20,16,4,0,0,0,Shannon Michelle Walker (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12629,PSY,3020,D04,24M,3,Basic Statistics for Behavioral Science,,TBA,25,14,11,0,0,0,Steven D Jones (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13066,PSY,3020,D05,24M,3,Basic Statistics for Behavioral Science,,TBA,20,20,0,0,0,0,Donald F Kendrick (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10196,PSY,3070,1,24M,3,Research Methods,MWF,09:10 am-10:05 am,15,15,0,0,0,0,William E Langston (P),01/17-05/04,COE 144,Credit from 4-Year College and Upper-Division Work
C,12630,PSY,3070,2,24M,3,Research Methods,MWF,10:20 am-11:15 am,15,15,0,0,0,0,William E Langston (P),01/17-05/04,COE 144,Credit from 4-Year College and Upper-Division Work
C,10203,PSY,3070,5,24M,3,(EXL) Research Methods,TR,02:40 pm-04:05 pm,15,18,-3,0,0,0,Stuart E Bernstein (P),01/17-05/04,COE 241,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,10205,PSY,3070,6,24M,3,Research Methods,MW,02:20 pm-03:45 pm,15,13,2,0,0,0,Evelyn Blanch-Payne (P),01/17-05/04,COE 140,Credit from 4-Year College and Upper-Division Work
NR,12425,PSY,3070,7,24M,3,Research Methods,TR,09:40 am-11:05 am,15,14,1,0,0,0,Evelyn Blanch-Payne (P),01/17-05/04,COE 240,Credit from 4-Year College and Upper-Division Work
NR,10201,PSY,3070,D01,24M,3,Research Methods,,TBA,20,19,1,0,0,0,Donald F Kendrick (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10199,PSY,3070,D02,24M,3,Research Methods,,TBA,15,16,-1,0,0,0,Loraine Rybiski Fernandez (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
