Sections Found,,,,,,,,,,,,,,,,,,,
PSYC-Psychology (TN eCampus),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16952,PSYC,1030,R01,63R,3,General Psychology,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Social/Behavioral and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,12798,PSYC,1030,R50,63R,3,General Psychology,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Social/Behavioral and Credit from 4-Year College
C,12799,PSYC,2110,R50,65R,3,Psychology of Adjustment,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
add to worksheet,16965,PSYC,2120,R25,64R,3,Social Psychology,,TBA,99,1,98,0,0,0,RODP Faculty (P),03/13-05/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 2 and Credit from 4-Year College
C,13038,PSYC,2120,R50,64R,3,Social Psychology,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16953,PSYC,2130,R01,90R,3,Life Span Psychology,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,12800,PSYC,2130,R50,90R,3,Life Span Psychology,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14530,PSYC,215,R50,65R,3,Child Growth and Development,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,12801,PSYC,223,R50,65R,3,Psychology of Aging,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,12006,PSYC,3305,R50,11R,3,Learning and Memory,,TBA,0,10,-10,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,12009,PSYC,3306,R50,11R,3,Physiological Psychology,,TBA,0,13,-13,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
