Sections Found,,,,,,,,,,,,,,,,,,,
READ-Reading,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,12268,READ,1000,K02,24M,3,Reading Skills Enrichment,MWF,10:20 am-11:15 am,12,14,-2,0,0,0,Debra Lee Haber (P),01/17-05/04,KOM 126,MT Engage and Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
C,12269,READ,1000,K03,24M,3,Reading Skills Enrichment,MW,12:40 pm-02:05 pm,12,12,0,0,0,0,Debra Lee Haber (P),01/17-05/04,KOM 126,MT Engage and Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
C,12747,READ,1000,K04,24M,3,Reading Skills Enrichment,TR,08:00 am-09:25 am,12,12,0,0,0,0,Georganne Ross (P),01/17-05/04,KOM 126,Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
NR,13034,READ,1000,K05,24M,3,Reading Skills Enrichment,TR,11:20 am-12:45 pm,12,10,2,0,0,0,Georganne Ross (P),01/17-05/04,KOM 126,Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
C,12748,READ,1000,K06,24M,3,Reading Skills Enrichment,MW,04:10 pm-05:35 pm,12,13,-1,0,0,0,Debra Lee Haber (P),01/17-05/04,KOM 126,MT Engage and Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
C,15801,READ,1000,K08,24M,3,Reading Skills Enrichment,TR,01:00 pm-02:25 pm,12,13,-1,0,0,0,Debra Lee Haber (P),01/17-05/04,KOM 126,MT Engage and Prescribed Course and Raider Learning Community and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course-Reading II and Prescribed Course--LS Read 1 and Prescribed Course--LS Read 2
C,13337,READ,4015,1,24M,6,"Language and Literacy, K-6",TR,08:00 am-11:00 am,25,25,0,0,0,0,"Beverly Joan Boulware (P), Samantha Lauren Kirby",01/17-05/04,COE 251,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10081,READ,4015,2,24M,6,"Language and Literacy, K-6",MWF,08:00 am-10:05 am,24,17,7,0,0,0,Christy Lynn Rowe (P),01/17-05/04,COE 240,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16415,READ,4015,3,M02,6,"(EXL)Language and Literacy, K-6",TR,10:00 am-01:00 pm,24,9,15,0,0,0,"Terri J Tharp (P), Alison Marie Harris",01/17-05/04,M02 LOCATION,Experiential Learning and Off Campus and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10082,READ,4035,1,24M,6,Language and Literacy in the Middle Grades,TR,08:00 am-11:05 am,24,6,18,0,0,0,"Suzette Swift Gilbert (P), Victoria Meghann Carey , Katelynn Eve Cunningham",01/17-05/04,COE 246,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15109,READ,4130,3,24M,3,Corrective Reading,TR,08:00 am-09:25 am,16,12,4,0,0,0,Ann A Wagner (P),01/17-05/04,COE 142,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15159,READ,4130,4,24M,3,Corrective Reading,M,04:30 pm-07:30 pm,16,12,4,0,0,0,Katie Marie Schrodt (P),01/17-05/04,COE 150,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12145,READ,5130,3,24M,3,Literacy Assessment,M,04:30 pm-07:30 pm,24,8,16,0,0,0,"Beverly Joan Boulware (P), Layla Jayne Smallwood",01/17-05/04,COE 146,College of Educ Course Fee
NR,11843,READ,5460,2,24M,3,Content Literacy,R,04:30 pm-07:30 pm,25,24,1,0,0,0,"Alyson Smith Bass (P), Renan Santos Tormin",01/17-05/04,COE 250,College of Educ Course Fee
NR,10139,READ,6520,1,24M,3,Teaching Reading,W,04:30 pm-07:30 pm,24,17,7,0,0,0,"Alyson Smith Bass (P), Renan Santos Tormin",01/17-05/04,COE 102,College of Educ Course Fee
