Sections Found,,,,,,,,,,,,,,,,,,,
RIM-Recording Industry,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10800,RIM,1020,1,24M,3,American Media and Social Institutions,TR,11:20 am-12:45 pm,90,44,46,330,118,212,Robert K Kalwinsky (P),01/17-05/04,LRC 221,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12888,RIM,1020,2,24M,3,American Media and Social Institutions,TR,02:40 pm-04:05 pm,10,10,0,45,45,0,Stephen Leon Alligood (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12181,RIM,1020,4,24M,3,American Media and Social Institutions,MWF,10:20 am-11:15 am,10,10,0,77,58,19,Katherine Ann Foss (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12597,RIM,1020,6,24M,3,American Media and Social Institutions,TR,09:40 am-11:05 am,60,31,29,66,37,29,Paul D Fischer (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12498,RIM,1020,D01,24M,3,American Media and Social Institutions,,TBA,20,17,3,0,0,0,Luther Allen Weese (P),01/17-05/04,TBA TBA,Distance Learning and Media Entertainment Course Fee and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13199,RIM,1020,H03,24M,3,(HONORS) American Media and Social Institutions,TR,11:20 am-12:45 pm,5,1,4,20,10,10,Larry L Burriss (P),01/17-05/04,BRAGG 151,University Honors and Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14369,RIM,1230,1,24M,3,Musicianship for Engineers,MWF,11:30 am-12:25 pm,20,20,0,0,0,0,Sarah Michele Bailey (P),01/17-05/04,BRAGG 191,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College
C,10908,RIM,1230,2,24M,3,Musicianship for Engineers,MWF,09:10 am-10:05 am,20,20,0,0,0,0,Trevor Owen De Clercq (P),01/17-05/04,BRAGG 174,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College
NR,10909,RIM,1230,3,24M,3,Musicianship for Engineers,MWF,10:20 am-11:15 am,20,19,1,0,0,0,Trevor Owen De Clercq (P),01/17-05/04,BRAGG 174,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College
NR,12989,RIM,1230,7,24M,3,Musicianship for Engineers,MWF,09:10 am-10:05 am,20,19,1,0,0,0,Richard S Adams (P),01/17-05/04,BRAGG 191,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College
NR,12990,RIM,1230,8,24M,3,Musicianship for Engineers,MWF,10:20 am-11:15 am,20,19,1,0,0,0,Richard S Adams (P),01/17-05/04,BRAGG 191,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College
NR,10910,RIM,3000,1,24M,3,History of the Recording Industry,TR,09:40 am-11:05 am,140,121,19,0,0,0,Michael Randolph Alleyne (P),01/17-05/04,COE 160,Supplemental Instruction and Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,13759,RIM,3000,2,24M,3,History of the Recording Industry,MW,12:40 pm-02:05 pm,60,61,-1,0,0,0,John M Dougan (P),01/17-05/04,BRAGG 101,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16710,RIM,3000,3,24M,3,History of the Recording Industry,MWF,11:30 am-12:25 pm,60,60,0,0,0,0,Charles B Dahan (P),01/17-05/04,BRAGG 101,Supplemental Instruction and Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15307,RIM,3010,1,24M,3,Audio Fundamentals,MW,02:20 pm-03:45 pm,200,124,76,0,0,0,Cosette R Collier (P),01/17-05/04,BAS S102,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,14425,RIM,3010,2,24M,3,Audio Fundamentals,MWF,11:30 am-12:25 pm,20,20,0,0,0,0,Ana Cristina Ochoa (P),01/17-05/04,BRAGG 174,Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16711,RIM,3010,H01,24M,3,(HONORS) Audio Fundamentals,TR,02:40 pm-04:05 pm,15,15,0,0,0,0,Christian Leonard Haseleu (P),01/17-05/04,BRAGG 191,University Honors and Tutoring Courses and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12477,RIM,3011,D01,24M,3,Survey of Audio Technology,,TBA,20,17,3,0,0,0,James L Piekarski (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Media Entertainment Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15632,RIM,3011,D02,24M,3,Survey of Audio Technology,,TBA,20,17,3,0,0,0,James L Piekarski (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Media Entertainment Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10911,RIM,3020,1,24M,3,(EXL) Commercial Songwriting,MW,12:40 pm-02:05 pm,12,12,0,0,0,0,Bobby L Taylor (P),01/17-05/04,EZEL 120,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10912,RIM,3020,2,24M,3,(EXL) Commercial Songwriting,MW,02:20 pm-03:45 pm,12,11,1,0,0,0,Bobby L Taylor (P),01/17-05/04,EZEL 120,Experiential Learning and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15394,RIM,3115,1,24M,3,Songwriting Instrumentation: Guitar,T,06:00 pm-09:00 pm,12,10,2,0,0,0,Jerome Jack Kimbrough (P),01/17-05/04,EZEL 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,17366,RIM,3115,2,24M,3,Songwriting Instrumentation: Guitar,T,02:40 pm-05:40 pm,12,12,0,0,0,0,Jerome Jack Kimbrough (P),01/17-05/04,EZEL 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,15402,RIM,3116,1,24M,3,Songwriting Instrumentation: Piano,R,02:40 pm-05:40 pm,12,12,0,0,0,0,Melissa Givens Taylor (P),01/17-05/04,EZEL 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,15403,RIM,3116,2,24M,3,Songwriting Instrumentation: Piano,R,06:00 pm-09:00 pm,12,12,0,0,0,0,Melissa Givens Taylor (P),01/17-05/04,EZEL 120,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10913,RIM,3580,1,24M,1,(EXL) RIM Practicum,,TBA,10,3,7,0,0,0,Dale Jennings Brown (P),01/17-05/04,TBA TBA,Experiential Learning and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10915,RIM,3580,3,24M,3,(EXL) RIM Practicum,,TBA,10,3,7,0,0,0,Dale Jennings Brown (P),01/17-05/04,TBA TBA,Experiential Learning and ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16712,RIM,3580,4,24M,3,RIM Practicum: Songwriting,F,12:40 pm-03:40 pm,10,9,1,0,0,0,Charles Otis Blackmon (P),01/17-05/04,EZEL 120,ETRI RIM Classes and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,12960,RIM,3600,3,24M,3,Survey of the Recording Industry,MWF,10:20 am-11:15 am,60,60,0,0,0,0,Charles B Dahan (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10924,RIM,3600,4,24M,3,Survey of the Recording Industry,TR,11:20 am-12:45 pm,60,61,-1,0,0,0,Amy S Macy (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10925,RIM,3600,5,24M,3,Survey of the Recording Industry,MWF,10:20 am-11:15 am,35,35,0,0,0,0,Stacy Lynn Merida (P),01/17-05/04,BRAGG 149,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,13086,RIM,3600,8,24M,3,Survey of the Recording Industry,MWF,09:10 am-10:05 am,60,60,0,0,0,0,Matthew C O'Brien (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12961,RIM,3600,9,24M,3,Survey of the Recording Industry,MWF,08:00 am-08:55 am,35,23,12,0,0,0,Matthew C O'Brien (P),01/17-05/04,BRAGG 149,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,17089,RIM,3650,2,24M,3,"Free Expression, Mass Media, and the American Public",MWF,11:30 am-12:25 pm,15,15,0,77,77,0,Jason B Reineke (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,12776,RIM,3650,4,24M,3,"Free Expression, Mass Media, and the American Public",MW,04:10 pm-05:35 pm,15,17,-2,41,44,-3,Paul D Fischer (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10930,RIM,3700,1,24M,3,Copyright Law,MW,02:20 pm-03:45 pm,60,59,1,0,0,0,Deborah Lanora Wagnon (P),01/17-05/04,BRAGG 101,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10976,RIM,3700,2,24M,3,Copyright Law,M,06:00 pm-09:00 pm,30,34,-4,0,0,0,Jeffrey Steven Izzo (P),01/17-05/04,BRAGG 101,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10977,RIM,3700,3,24M,3,Copyright Law,TR,04:20 pm-05:45 pm,60,60,0,0,0,0,Jeffrey Steven Izzo (P),01/17-05/04,BRAGG 101,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10978,RIM,3720,1,24M,3,Artist Management,TR,09:40 am-11:05 am,35,35,0,0,0,0,Gloria E Green (P),01/17-05/04,BRAGG 149,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
