Sections Found,,,,,,,,,,,,,,,,,,,
SABR-Study Abroad,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,17178,SABR,1000,S01,24M,12,Study Abroad:ISA:Czech Republic,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17180,SABR,1000,S03,24M,12,Study Abroad:Non-Affiliated - Junior Year in Munich: Germany,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17181,SABR,1000,S04,24M,12,Study Abroad:USAC:Italy,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17182,SABR,1000,S05,24M,12,Study Abroad:ISA:Australia,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17203,SABR,1000,S06,24M,12,Study Abroad:ISA:Fiji,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17204,SABR,1000,S07,24M,12,Study Abroad:USAC:Costa Rica,,TBA,4,4,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17205,SABR,1000,S08,24M,12,Study Abroad:MTSU Exchange:Japan,,TBA,2,2,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College
NR,17208,SABR,1000,S11,24M,12,Study Abroad:MTSU Exchange:KGU:Japan,,TBA,7,6,1,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College
C,17209,SABR,1000,S12,24M,12,Study Abroad:USAC:Italy,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17210,SABR,1000,S13,24M,12,Study Abroad:MTSU Exchange:Japan,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College
C,17212,SABR,1000,S15,24M,12,Study Abroad:USAC:Chile,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17213,SABR,1000,S16,24M,12,Study Abroad:USAC:France,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17214,SABR,1000,S17,24M,12,Study Abroad:ISEP Exchange:Korea,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College
C,17215,SABR,1000,S18,24M,12,Study Abroad:ISA:Scotland,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17217,SABR,1000,S21,24M,12,Study Abroad:ISEP Exchange:Taiwan,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College
C,17218,SABR,1000,S22,24M,3,Study Abroad:KIIS:France and Germany,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17221,SABR,1000,S23,24M,3,Study Abroad:KIIS:Italy,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17222,SABR,1000,S24,24M,3,Study Abroad:USAC:Spain,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17224,SABR,1000,S26,24M,3,Study Abroad:KIIS:Zanzibar,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed and Credit from 4-Year College
C,17314,SABR,6000,S01,24M,3,Study Abroad:Non-Affiliated:Spain,,TBA,1,1,0,0,0,0,TBA,01/17-05/04,TBA TBA,Study Abroad and Study Abroad-non billed
