Sections Found,,,,,,,,,,,,,,,,,,,
SOC-Sociology (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10335,SOC,1010,1,24M,3,Introductory Sociology,MWF,09:10 am-10:05 am,30,30,0,0,0,0,Marcus Anthony Brooks (P),01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10336,SOC,1010,2,24M,3,Introductory Sociology,MWF,10:20 am-11:15 am,38,36,2,0,0,0,"William Leigh Canak (P), Charlotte Anne Archer",01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10337,SOC,1010,3,24M,3,Introductory Sociology,MWF,11:30 am-12:25 pm,100,73,27,0,0,0,"Foster K Amey (P), Lael Serene Smith",01/17-05/04,TODD 204,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10338,SOC,1010,4,24M,3,Introductory Sociology,W,06:00 pm-09:00 pm,38,17,21,0,0,0,"William Leigh Canak (P), Charlotte Anne Archer",01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10341,SOC,1010,5,24M,3,Introductory Sociology,TR,09:40 am-11:05 am,100,90,10,0,0,0,"Gretchen Rose Webber (P), Eva W Kibe-Pea",01/17-05/04,TODD 204,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10339,SOC,1010,6,24M,3,Introductory Sociology,TR,01:00 pm-02:25 pm,30,30,0,0,0,0,Marcus Anthony Brooks (P),01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10340,SOC,1010,7,24M,3,Introductory Sociology,TR,02:40 pm-04:05 pm,30,30,0,0,0,0,Marcus Anthony Brooks (P),01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12302,SOC,1010,D01,24M,3,Introductory Sociology,,TBA,40,40,0,0,0,0,"Vicky M MacLean (P), Tierra Lynn-Nicole Brooks",01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10342,SOC,1010,D02,24M,3,Introductory Sociology,,TBA,40,38,2,0,0,0,"Vicky M MacLean (P), Rebekah Karii Dawson",01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,16572,SOC,1010,H01,24M,3,(HONORS) Introductory Sociology,TR,11:20 am-12:45 pm,20,13,7,0,0,0,"J Brandon Wallace (P), Victoria Maria Ong",01/17-05/04,PH 320,University Honors and Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10343,SOC,2010,1,24M,3,Social Problems,MWF,11:30 am-12:25 pm,30,27,3,0,0,0,Amber R Pogacsnik (P),01/17-05/04,PH 300,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13270,SOC,2010,2,24M,3,Social Problems,TR,09:40 am-11:05 am,30,30,0,0,0,0,Marcus Anthony Brooks (P),01/17-05/04,PH 218,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10345,SOC,2010,D01,24M,3,Social Problems,,TBA,30,29,1,0,0,0,Kimberly F Leifker (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,15078,SOC,2010,D02,24M,3,Social Problems,,TBA,30,28,2,0,0,0,Kimberly F Leifker (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10346,SOC,2500,1,24M,3,Marriage and Family,TR,11:20 am-12:45 pm,35,34,1,0,0,0,Lori Ann Farney (P),01/17-05/04,PH 218,Credit from 4-Year College
C,10347,SOC,2500,D01,24M,3,Marriage and Family,,TBA,25,25,0,0,0,0,Lori Ann Farney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,13332,SOC,2500,D02,24M,3,Marriage and Family,,TBA,25,25,0,0,0,0,Lori Ann Farney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,10348,SOC,2600,1,24M,3,Introduction to Gerontology,TR,01:00 pm-02:25 pm,20,19,1,28,27,1,Sandra Connell Jones (P),01/17-05/04,PH 320,Gerontology (Aging Studies) and Credit from 4-Year College
NR,10349,SOC,3040,1,24M,3,Research Methods,TR,02:40 pm-04:05 pm,28,20,8,0,0,0,Angela G Mertig (P),01/17-05/04,PH 320,Credit from 4-Year College and Upper-Division Work
NR,13659,SOC,3050,1,24M,4,Data Analysis,MWF,09:10 am-10:05 am,25,13,12,0,0,0,"Meredith Huey Dye (P), Huey Jackson Davis",01/17-05/04,BAS S302,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,10:20 am-11:15 am,,,,,,,"Meredith Huey Dye (P), Huey Jackson Davis",01/17-05/04,BAS S302,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,10350,SOC,3060,1,24M,3,Sociological Theory,TR,11:20 am-12:45 pm,34,30,4,0,0,0,Kimberly F Leifker (P),01/17-05/04,PH 300,Credit from 4-Year College and Upper-Division Work
C,12224,SOC,3200,R50,50R,3,Sociology of Sex and Gender,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
NR,16573,SOC,3210,1,24M,3,Drugs and Alcohol,TR,02:40 pm-04:05 pm,34,33,1,0,0,0,Patricia Jo Riley (P),01/17-05/04,PH 300,Credit from 4-Year College and Upper-Division Work
NR,10351,SOC,3250,1,24M,3,Social Deviance,MW,12:40 pm-02:05 pm,36,34,2,0,0,0,Patricia Jo Riley (P),01/17-05/04,PH 300,Global Studies-Gender and Credit from 4-Year College and Upper-Division Work
C,12128,SOC,3250,D01,24M,3,Social Deviance,,TBA,25,25,0,0,0,0,Kimberly F Leifker (P),01/17-05/04,TBA TBA,Distance Learning and Global Studies-Gender and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,16574,SOC,3400,1,24M,3,Gender and Society,MW,12:40 pm-02:05 pm,25,25,0,0,0,0,Lori Ann Farney (P),01/17-05/04,PH 218,Credit from 4-Year College and Upper-Division Work
