Sections Found,,,,,,,,,,,,,,,,,,,
SPAN-Spanish (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12637,SPAN,1010,1,24M,3,Elementary Spanish I,MWF,12:40 pm-01:35 pm,20,17,3,0,0,0,Rita M Maisonneuve (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,10634,SPAN,1010,2,24M,3,Elementary Spanish I,MWF,09:10 am-10:05 am,20,19,1,0,0,0,Rita M Maisonneuve (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,10635,SPAN,1010,3,24M,3,Elementary Spanish I,TR,11:20 am-12:45 pm,20,15,5,0,0,0,"Theresa Marie McBreen (P), Taylor Anne Winters",01/17-05/04,BDA 307,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,10636,SPAN,1010,4,24M,3,Elementary Spanish I,MWF,11:30 am-12:25 pm,20,15,5,0,0,0,Rita M Maisonneuve (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language I
C,10638,SPAN,1010,5,24M,3,Elementary Spanish I,TR,01:00 pm-02:25 pm,20,20,0,0,0,0,"Nuria Maria Novella (P), William Thomas Oakes",01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language I
C,12958,SPAN,1010,D01,24M,3,Elementary Spanish I,,TBA,25,25,0,0,0,0,Watson Ambruster (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Foreign Language I
C,12042,SPAN,1010,R50,60R,3,Spanish I,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,12912,SPAN,1015,1,24M,3,Spanish for Concrete and Construction Management,MW,12:40 pm-02:05 pm,20,13,7,0,0,0,Watson Ambruster (P),01/17-05/04,COE 245,Credit from 4-Year College
NR,10641,SPAN,1020,1,24M,3,Elementary Spanish II,MWF,10:20 am-11:15 am,20,13,7,0,0,0,Richard E Morris (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,10642,SPAN,1020,2,24M,3,Elementary Spanish II,MWF,01:50 pm-02:45 pm,20,7,13,0,0,0,Rita M Maisonneuve (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,10643,SPAN,1020,3,24M,3,Elementary Spanish II,TR,01:00 pm-02:25 pm,20,14,6,0,0,0,Richard E Morris (P),01/17-05/04,BAS S208,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,15574,SPAN,1020,4,24M,3,Elementary Spanish II,TR,11:20 am-12:45 pm,16,15,1,0,0,0,Richard E Morris (P),01/17-05/04,BDA 303B,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,16532,SPAN,1020,D01,24M,3,Elementary Spanish II,,TBA,25,22,3,0,0,0,Soraya C Nogueira (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Credit from 4-Year College and Foreign Language II
NR,10644,SPAN,1020,H01,24M,3,(HONORS) Elementary Spanish II,MW,04:10 pm-05:35 pm,20,8,12,0,0,0,Jason L Pettigrew (P),01/17-05/04,BAS S339,University Honors and Tutoring Courses and Credit from 4-Year College and Foreign Language II
C,12043,SPAN,1020,R50,60R,3,Spanish II,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,16533,SPAN,1035,D01,24M,3,Introduction to Medical Spanish,,TBA,25,20,5,0,0,0,Paolo Volpe Rinonapoli (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
