Sections Found,,,,,,,,,,,,,,,,,,,
SPED-Special Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12199,SPED,3010,1,24M,3,Characteristics and Teaching of Diverse Learners,MWF,09:10 am-10:05 am,24,17,7,0,0,0,Dana Elizabeth Bolton (P),01/17-05/04,COE 251,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15110,SPED,3010,2,24M,3,Characteristics and Teaching of Diverse Learners,MWF,10:20 am-11:15 am,24,22,2,0,0,0,Dana Elizabeth Bolton (P),01/17-05/04,COE 251,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10083,SPED,3010,3,24M,3,Characteristics and Teaching of Diverse Learners,MW,12:40 pm-02:05 pm,24,24,0,0,0,0,Jeri Lyn Custodero (P),01/17-05/04,COE 150,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10084,SPED,3010,4,24M,3,Characteristics and Teaching of Diverse Learners,TR,09:40 am-11:05 am,24,22,2,0,0,0,Jeri Lyn Custodero (P),01/17-05/04,COE 249,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10086,SPED,3010,5,24M,3,Characteristics and Teaching of Diverse Learners,TR,01:00 pm-02:25 pm,24,24,0,0,0,0,Jeri Lyn Custodero (P),01/17-05/04,COE 249,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,17309,SPED,4000,2,24M,3,Teaching Reading to Diverse Learners,R,04:30 pm-07:30 pm,20,24,-4,0,0,0,Casey Faye Brasher (P),01/17-05/04,COE 245,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10093,SPED,4120,1,24M,3,"Curriculum, Methods, and Materials for Special Education (Comprehensive)",TR,11:20 am-12:45 pm,24,17,7,0,0,0,"Thomas Lea Black (P), Brianna Lynn Heckert",01/17-05/04,COE 153,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10094,SPED,4170,1,24M,3,Strategic Teaching and Learning in Secondary Education (Modified),TR,11:20 am-12:45 pm,24,9,15,0,0,0,Jeri Lyn Custodero (P),01/17-05/04,COE 240,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10095,SPED,4250,1,24M,3,Education in the Affective Domain,M,04:30 pm-07:30 pm,24,8,16,0,0,0,Jeri Lyn Custodero (P),01/17-05/04,COE 250,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,17282,SPED,4280,D03,24M,3,Assistive Technology in Special Education,,TBA,17,19,-2,24,24,0,Kimberly Sue Lilley (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:15 pm-09:15 pm,,,,,,,Kimberly Sue Lilley (P),01/25-01/25,COE 110,Distance Learning and Distance Education Fee-UG and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:15 pm-09:15 pm,,,,,,,Kimberly Sue Lilley (P),02/15-02/15,COE 110,Distance Learning and Distance Education Fee-UG and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
