Sections Found,,,,,,,,,,,,,,,,,,,
SPSE-School Personnel Serv Edu,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,13579,SPSE,6080,1,24M,3,Studies in Leadership,R,04:30 pm-07:30 pm,15,16,-1,0,0,0,Donald Snead (P),01/17-05/04,COE 144,
NR,14067,SPSE,6140,D01,24M,3,Teacher Leadership for School Improvement,,TBA,12,11,1,0,0,0,Charles David Milligan (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
NR,11171,SPSE,6210,1,24M,3,Legal Issues in Higher Education,T,04:30 pm-07:30 pm,20,19,1,0,0,0,Hilary Joanna Miller (P),01/17-05/04,COE 249,
NR,11180,SPSE,6430,1,24M,3,Introduction to Curriculum Development,T,04:30 pm-07:30 pm,18,15,3,0,0,0,Ashlee Brooke Ensey Hover (P),01/17-05/04,COE 142,College of Educ Course Fee
C,13587,SPSE,6480,2,24M,3,Instructional Excellence in Secondary Schools,M,04:30 pm-07:30 pm,12,14,-2,0,0,0,Marcia G Melton (P),01/17-05/04,COE 142,College of Educ Course Fee
C,13588,SPSE,6540,1,24M,3,Overview of Higher Education,R,06:00 pm-09:00 pm,15,18,-3,20,21,-1,Mike Alan Boyle (P),01/17-05/04,COE 142,
NR,12708,SPSE,6640,D02,24M,3,Microcomputers in the K-12 Educational Setting,,TBA,10,9,1,0,0,0,Michelle G Arnold (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
C,12709,SPSE,6640,D03,24M,3,Microcomputers in the K-12 Educational Setting,,TBA,10,14,-4,0,0,0,Michelle G Arnold (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
C,12353,SPSE,6800,D01,24M,3,Language and Linguistics for ESL Teachers,,TBA,12,13,-1,0,0,0,Dorothy V Craig (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,12743,SPSE,6830,D01,24M,3,Assessment and Evaluation of English Language Learners,,TBA,12,13,-1,0,0,0,Dorothy V Craig (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,13218,SPSE,7010,1,24M,3,Educational Research Methodology,T,06:00 pm-09:00 pm,20,6,14,0,0,0,Ryan S Jones (P),01/17-05/04,COE 144,
NR,12745,SPSE,7130,D01,24M,3,The Curriculum: Structures and Functions,,TBA,14,4,10,0,0,0,Barbara N Young (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,13589,SPSE,7540,1,24M,3,Overview of Higher Education,R,06:00 pm-09:00 pm,3,3,0,20,21,-1,Mike Alan Boyle (P),01/17-05/04,COE 142,
NR,12413,SPSE,7720,D01,24M,3,Brain-Based Teaching and Learning in the Classroom,,TBA,14,8,6,0,0,0,Barbara N Young (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,12572,SPSE,7730,D01,24M,3,Human Diversity in a Variety of Learning Environments,,TBA,14,5,9,0,0,0,Michelle G Arnold (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
