Sections Found,,,,,,,,,,,,,,,,,,,
SW-Social Work,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10110,SW,2570,1,24M,3,Introduction to Social Work,MWF,11:30 am-12:25 pm,25,25,0,0,0,0,Margaret A Fontanesi-Seime (P),01/17-05/04,PH 206,Credit from 4-Year College
C,10112,SW,2570,2,24M,3,Introduction to Social Work,TR,08:00 am-09:25 am,24,24,0,0,0,0,Margaret A Fontanesi-Seime (P),01/17-05/04,PH 206,Credit from 4-Year College
C,16874,SW,2570,3,24M,3,Introduction to Social Work,TR,02:40 pm-04:05 pm,24,24,0,0,0,0,Kenneth G Lancaster (P),01/17-05/04,PH 314B,Credit from 4-Year College
C,12341,SW,2570,D01,24M,3,Introduction to Social Work,,TBA,25,25,0,0,0,0,Josh Chestnut (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,16071,SW,2630,1,24M,3,Interviewing Skills for Social Work Practice,T,06:00 pm-09:00 pm,26,19,7,0,0,0,Patricia Sue Hayes (P),01/17-05/04,PH 206,Credit from 4-Year College
C,10115,SW,2630,2,24M,3,Interviewing Skills for Social Work Practice,TR,01:00 pm-02:25 pm,22,24,-2,0,0,0,Sasha Lin Fallon (P),01/17-05/04,PH 206,Credit from 4-Year College
NR,13450,SW,2630,3,24M,3,Interviewing Skills for Social Work Practice,MW,02:20 pm-03:45 pm,25,24,1,0,0,0,Justin Douglas Bucchio (P),01/17-05/04,KOM 123,Credit from 4-Year College
C,10116,SW,3000,D01,24M,3,Social Policy,,TBA,25,25,0,0,0,0,Steven W Pharris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10117,SW,3000,D02,24M,3,Social Policy,,TBA,25,27,-2,0,0,0,Christina Marie Fly (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12530,SW,3000,D03,24M,3,Social Policy,,TBA,17,24,-7,0,0,0,Rebecca Marie Smith (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10119,SW,3110,2,24M,3,Research Methods for Social Work Practice,TR,02:40 pm-04:05 pm,16,20,-4,0,0,0,Kathleen Darby (P),01/17-05/04,PH 206,Credit from 4-Year College and Upper-Division Work
C,13082,SW,3110,D01,24M,3,Research Methods for Social Work Practice,,TBA,18,20,-2,0,0,0,Kathleen Darby (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10120,SW,3120,1,24M,3,Data Analysis for Social Work Practice,MWF,09:10 am-10:05 am,18,18,0,0,0,0,Ariana Elizabeth Postlethwait (P),01/17-05/04,PH 204,Credit from 4-Year College and Upper-Division Work
NR,10121,SW,3120,2,24M,3,Data Analysis for Social Work Practice,MWF,11:30 am-12:25 pm,19,11,8,0,0,0,Ariana Elizabeth Postlethwait (P),01/17-05/04,PH 204,Credit from 4-Year College and Upper-Division Work
C,13664,SW,3120,3,24M,3,Data Analysis for Social Work Practice,TR,01:00 pm-02:25 pm,17,18,-1,0,0,0,Ariana Elizabeth Postlethwait (P),01/17-05/04,PH 204,Credit from 4-Year College and Upper-Division Work
NR,10122,SW,3160,1,24M,3,Human Behavior and the Social Environment I: Individuals and Families,MWF,09:10 am-10:05 am,24,23,1,0,0,0,Margaret A Fontanesi-Seime (P),01/17-05/04,PH 206,Credit from 4-Year College and Upper-Division Work
C,10123,SW,3160,2,24M,3,Human Behavior and the Social Environment I: Individuals and Families,TR,11:20 am-12:45 pm,24,24,0,0,0,0,Margaret A Fontanesi-Seime (P),01/17-05/04,PH 206,Credit from 4-Year College and Upper-Division Work
NR,13451,SW,3160,3,24M,3,Human Behavior and the Social Environment I: Individuals and Families,R,06:00 pm-09:00 pm,24,9,15,0,0,0,Tonya Gaye Hobbs (P),01/17-05/04,PH 206,Credit from 4-Year College and Upper-Division Work
C,12544,SW,3161,D01,24M,3,"Human Behavior and the Social Environment II: Groups, Organizations, and Communities",,TBA,20,22,-2,0,0,0,Carmelita Lavonne Dotson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13185,SW,3161,D02,24M,3,"Human Behavior and the Social Environment II: Groups, Organizations, and Communities",,TBA,20,21,-1,0,0,0,Carmelita Lavonne Dotson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12055,SW,3170,R50,24R,3,Family Caregiving,,TBA,0,16,-16,0,0,0,"RODP Faculty (P), Marijo Cooper Bond",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Gerontology (Aging Studies) and Credit from 4-Year College and Upper-Division Work
C,10124,SW,3200,1,24M,3,Cultural Diversity: Competency for Practice,W,06:00 pm-09:00 pm,22,24,-2,28,28,0,Nakita Watts (P),01/17-05/04,PH 200,African American Studies and Credit from 4-Year College and Upper-Division Work
C,13665,SW,3200,2,24M,3,Cultural Diversity: Competency for Practice,MWF,11:30 am-12:25 pm,17,18,-1,0,0,0,Carmelita Lavonne Dotson (P),01/17-05/04,COE 248,African American Studies and Credit from 4-Year College and Upper-Division Work
C,12056,SW,3200,R50,24R,3,Cultural Diversity,,TBA,0,12,-12,0,0,0,"RODP Faculty (P), Carmelita Lavonne Dotson",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,16860,SW,3250,D01,24M,3,School Social Work,,TBA,20,24,-4,0,0,0,Beverly M English (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17014,SW,4150,1,24M,3,Topics in Social Work: Social Work and Health,W,06:00 pm-09:00 pm,25,21,4,0,0,0,Vickie L Harden (P),01/17-05/04,PH 300,Credit from 4-Year College and Upper-Division Work
C,16452,SW,4150,2,24M,3,Topics in Social Work: Applied Ethics in Behavioral and Health Services,TR,09:40 am-11:05 am,25,25,0,0,0,0,Kenneth G Lancaster (P),01/17-05/04,TODD 206,Credit from 4-Year College and Upper-Division Work
C,14308,SW,4150,3,24M,3,Topics in Social Work: Child Welfare II,M,06:00 pm-09:00 pm,10,11,-1,0,0,0,Sirena Yvette Bragg (P),01/17-05/04,PH 204,Credit from 4-Year College and Upper-Division Work
