Sections Found,,,,,,,,,,,,,,,,,,,
THEA-Theatre,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11191,THEA,1030,1,24M,3,Theatre Appreciation,MWF,09:10 am-10:05 am,35,35,0,0,0,0,Nicholas S Ryan (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,13453,THEA,1030,2,24M,3,Theatre Appreciation,TR,02:40 pm-04:05 pm,35,33,2,0,0,0,Santiago M Sosa (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11192,THEA,1030,3,24M,3,Theatre Appreciation,R,09:40 am-11:05 am,35,33,2,0,0,0,Derek M Whittaker (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,14482,THEA,1030,4,24M,3,Theatre Appreciation,T,08:00 am-09:25 am,35,34,1,0,0,0,Todd Edward Seage (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,13094,THEA,1030,5,24M,3,Theatre Appreciation,TR,04:20 pm-05:45 pm,35,18,17,0,0,0,Santiago M Sosa (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11193,THEA,1030,6,24M,3,Theatre Appreciation,MW,04:10 pm-05:35 pm,35,29,6,0,0,0,Rene Chadwick (P),01/17-05/04,BDA 309,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,14113,THEA,1030,7,24M,3,Theatre Appreciation,MW,02:20 pm-03:45 pm,34,34,0,0,0,0,Rene Chadwick (P),01/17-05/04,SAG 208,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11194,THEA,1030,8,24M,3,Theatre Appreciation,T,02:40 pm-05:40 pm,40,14,26,0,0,0,Rene Chadwick (P),01/17-05/04,BAS S305,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11195,THEA,1030,9,24M,3,Theatre Appreciation,R,08:00 am-09:25 am,35,35,0,0,0,0,Todd Edward Seage (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11196,THEA,1030,10,24M,3,Theatre Appreciation,T,09:40 am-11:05 am,240,140,100,0,0,0,"Kristi Charline Shamburger (P), Douglas Richard Browder , Derek M Whittaker",01/17-05/04,TUCKER AUD,MT Engage and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11198,THEA,1030,11,24M,3,Theatre Appreciation,TR,01:00 pm-02:25 pm,40,40,0,0,0,0,Santiago M Sosa (P),01/17-05/04,BAS S316,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11197,THEA,1030,12,24M,3,Theatre Appreciation,TR,08:00 am-09:25 am,40,21,19,0,0,0,Patricia Lynn Clark (P),01/17-05/04,BAS S330,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,17375,THEA,1030,13,24M,3,Theatre Appreciation,MWF,10:20 am-11:15 am,30,28,2,0,0,0,Nicholas S Ryan (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11199,THEA,1030,D01,24M,3,Theatre Appreciation,,TBA,30,30,0,0,0,0,Virginia Ann Donnell (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,12073,THEA,1030,D02,24M,3,Theatre Appreciation,,TBA,30,30,0,0,0,0,Virginia Ann Donnell (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,12345,THEA,1030,D03,24M,3,Theatre Appreciation,,TBA,30,29,1,0,0,0,Douglas Richard Browder (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,14768,THEA,1030,D04,24M,3,Theatre Appreciation,,TBA,30,26,4,0,0,0,Sparkle Ann Tufano (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11201,THEA,1030,H01,24M,3,(HONORS) Theatre Appreciation,MWF,09:10 am-10:05 am,20,19,1,0,0,0,Richard A Hansen (P),01/17-05/04,BDA 218,University Honors and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,11200,THEA,1030,H02,24M,3,(HONORS) Theatre Appreciation,TR,08:00 am-09:25 am,20,13,7,0,0,0,Richard A Hansen (P),01/17-05/04,BDA 218,University Honors and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,12897,THEA,2000,1,24M,2,Introduction to Theatre Studies,M,04:10 pm-05:35 pm,20,20,0,0,0,0,Jeffery Scott Gibson (P),01/17-05/04,BDA 220,Credit from 4-Year College
NR,11202,THEA,2110,1,24M,3,Stagecraft,TR,02:40 pm-04:05 pm,30,29,1,0,0,0,Brian D Elliott (P),01/17-05/04,BDA 218,Credit from 4-Year College
C,12898,THEA,2510,1,24M,3,Acting for Non-Majors,MW,02:20 pm-03:45 pm,16,16,0,0,0,0,Jette Halladay (P),01/17-05/04,BDA 101,Credit from 4-Year College
C,16004,THEA,2510,2,24M,3,Acting for Non-Majors,TR,11:20 am-12:45 pm,16,16,0,0,0,0,Derek M Whittaker (P),01/17-05/04,BDA 101,Credit from 4-Year College
NR,13896,THEA,2510,3,24M,3,Acting for Non-Majors,MW,12:40 pm-02:05 pm,16,15,1,0,0,0,Kyle Duane Kennedy (P),01/17-05/04,BDA 101,Credit from 4-Year College
NR,13536,THEA,3050,1,24M,3,Theatrical Design Concepts,T,01:00 pm-04:00 pm,12,10,2,0,0,0,Scott J Boyd (P),01/17-05/04,BDA 220,Credit from 4-Year College and Upper-Division Work
C,16618,THEA,3050,2,24M,3,Theatrical Design Concepts,R,01:00 pm-04:00 pm,12,12,0,0,0,0,Scott J Boyd (P),01/17-05/04,BDA 220,Credit from 4-Year College and Upper-Division Work
NR,11203,THEA,3100,1,24M,3,Make-Up Techniques for Performers,T,02:40 pm-05:40 pm,16,15,1,0,0,0,Patricia Lynn Clark (P),01/17-05/04,BDA 120,Credit from 4-Year College and Upper-Division Work
