Sections Found,,,,,,,,,,,,,,,,,,,
TXMD-Textiles Merch Design,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,12400,TXMD,1110,1,24M,3,(EXL) Basic Design,MW,12:40 pm-03:10 pm,18,18,0,0,0,0,Teresa Braswell King (P),01/17-05/04,LRC 207,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,15688,TXMD,1110,2,24M,3,(EXL) Basic Design,TR,08:00 am-10:30 am,18,18,0,0,0,0,Teresa Braswell King (P),01/17-05/04,LRC 207,Experiential Learning and Tutoring Courses and Credit from 4-Year College
NR,12332,TXMD,1170,1,24M,3,Introduction to the Fashion Industry,MWF,09:10 am-10:05 am,32,25,7,0,0,0,Jasmin Hyunju Kwon (P),01/17-05/04,LRC 207,Tutoring Courses and Credit from 4-Year College
C,14126,TXMD,2110,1,24M,3,(EXL) Fashion Forecasting,MWF,08:00 am-08:55 am,26,26,0,0,0,0,Jasmin Hyunju Kwon (P),01/17-05/04,LRC 210,Experiential Learning and Credit from 4-Year College
NR,13257,TXMD,2180,1,24M,3,(EXL) Textiles I,MW,09:10 am-10:05 am,18,15,3,0,0,0,Lauren Elaine Rudd (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,13258,TXMD,2180,2,24M,3,(EXL) Textiles I,MW,10:20 am-11:15 am,18,18,0,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,14127,TXMD,2180,3,24M,3,(EXL) Textiles I,MW,11:30 am-12:25 pm,18,18,0,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
NR,13259,TXMD,2181,1,24M,0,(EXL) Textiles I Laboratory,F,08:00 am-10:05 am,18,15,3,0,0,0,Lauren Elaine Rudd (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,13260,TXMD,2181,2,24M,0,(EXL) Textiles I Laboratory,F,10:20 am-12:25 pm,18,18,0,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,14128,TXMD,2181,3,24M,0,(EXL) Textiles I Laboratory,F,12:40 pm-02:45 pm,18,18,0,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 208,Experiential Learning and Tutoring Courses and Credit from 4-Year College
C,15288,TXMD,2200,D01,24M,3,(EXL) History of Fashion,,TBA,30,30,0,0,0,0,Teresa Braswell King (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,12935,TXMD,3300,1,24M,3,Clothing II,TR,08:00 am-10:30 am,15,8,7,0,0,0,Gina R Pisut (P),01/17-05/04,LRC 209,Credit from 4-Year College and Upper-Division Work
NR,12333,TXMD,3320,1,24M,3,Patternmaking II,TR,02:40 pm-05:10 pm,15,7,8,0,0,0,Gina R Pisut (P),01/17-05/04,LRC 209,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,04:20 pm-05:10 pm,,,,,,,Gina R Pisut (P),01/17-05/04,LRC 210,Credit from 4-Year College and Upper-Division Work
NR,15289,TXMD,4100,1,24M,3,(EXL) Fashion Promotion,MW,04:10 pm-05:35 pm,32,28,4,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 207,Experiential Learning and MT Engage and Credit from 4-Year College and Upper-Division Work
NR,11590,TXMD,4150,1,24M,3,Fashion Buying,MWF,10:20 am-11:15 am,26,21,5,0,0,0,Jasmin Hyunju Kwon (P),01/17-05/04,LRC 210,Credit from 4-Year College and Upper-Division Work
NR,12999,TXMD,4220,1,24M,3,(EXL) Computer Aided Apparel Design I,TR,01:00 pm-03:30 pm,15,12,3,0,0,0,Lauren Elaine Rudd (P),01/17-05/04,LRC 210,Experiential Learning and MT Engage and Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,12998,TXMD,4400,1,24M,3,(EXL) Fashion Product Line Development and Merchandising,TR,11:20 am-01:50 pm,33,26,7,0,0,0,Gina R Pisut (P),01/17-05/04,LRC 209,Experiential Learning and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,11:25 am-12:45 pm,,,,,,,Gina R Pisut (P),01/17-05/04,LRC 210,Experiential Learning and Credit from 4-Year College and Upper-Division Work
