Sections Found,,,,,,,,,,,,,,,,,,,
UH-University Honors,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10052,UH,3000,1,24M,1,University Honors Lecture Series: Rhetoric in Contemporary Culture,M,03:00 pm-03:55 pm,45,45,0,0,0,0,Philip E Phillips (P),01/17-05/04,HONR 106,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10053,UH,3001,1,24M,1,(EXL) Honors Service Learning Practicum,,TBA,15,2,13,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,Experiential Learning and University Honors and Credit from 4-Year College and Upper-Division Work
NR,12992,UH,3200,1,24M,1,Visiting Artist's Seminar,MTWRF,03:00 pm-05:40 pm,15,7,8,0,0,0,Marc J Barr (P),02/20-02/24,TBA TBA,University Honors and Short Course and Credit from 4-Year College and Upper-Division Work
NR,16816,UH,3500,1,24M,3,(EXL) Junior Interdisciplinary Seminar: Constitutional & Political Legacy of Amer Founders,,TBA,27,24,3,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,Experiential Learning and University Honors and MT Engage and Credit from 4-Year College and Upper-Division Work
NR,16382,UH,4600,1,24M,3,Senior Interdisciplinary Seminar: Human Behavior and Evolutionary Theory,TR,02:40 pm-04:05 pm,15,8,7,0,0,0,"Thomas M Brinthaupt (P), Andrew V Z Brower",01/17-05/04,HONR 117,University Honors and Credit from 4-Year College and Upper-Division Work
NR,16511,UH,4600,2,24M,3,Senior Interdisciplinary Seminar: Gothic Culture,TR,11:20 am-12:45 pm,15,12,3,0,0,0,Linda C Badley (P),01/17-05/04,HONR 117,University Honors and Credit from 4-Year College and Upper-Division Work
NR,13178,UH,4900,1,24M,1,Honors Thesis Tutorial,MWF,08:00 am-08:55 am,10,4,6,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,13179,UH,4900,2,24M,1,Honors Thesis Tutorial,MWF,09:10 am-10:05 am,10,1,9,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10054,UH,4900,3,24M,1,Honors Thesis Tutorial,MWF,10:20 am-11:15 am,10,7,3,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10055,UH,4900,4,24M,1,Honors Thesis Tutorial,MWF,11:30 am-12:25 pm,10,6,4,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,14047,UH,4900,5,24M,1,Honors Thesis Tutorial,MWF,12:40 pm-01:35 pm,10,5,5,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,13180,UH,4900,6,24M,1,Honors Thesis Tutorial,MWF,01:50 pm-02:45 pm,10,1,9,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10056,UH,4900,7,24M,1,Honors Thesis Tutorial,MW,12:40 pm-02:05 pm,10,5,5,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10057,UH,4900,8,24M,1,Honors Thesis Tutorial,MW,02:20 pm-03:45 pm,10,6,4,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10058,UH,4900,9,24M,1,Honors Thesis Tutorial,TR,08:00 am-09:25 am,10,4,6,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10059,UH,4900,10,24M,1,Honors Thesis Tutorial,TR,09:40 am-11:05 am,10,6,4,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,13181,UH,4900,11,24M,1,Honors Thesis Tutorial,TR,11:20 am-12:45 pm,10,7,3,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12524,UH,4900,12,24M,1,Honors Thesis Tutorial,TR,01:00 pm-02:25 pm,10,3,7,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12525,UH,4900,13,24M,1,Honors Thesis Tutorial,TR,02:40 pm-04:05 pm,10,6,4,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,10060,UH,4950,1,24M,3,Honors Independent Research,MWF,08:00 am-08:55 am,15,2,13,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12588,UH,4950,4,24M,3,Honors Independent Research,MWF,11:30 am-12:25 pm,15,6,9,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12589,UH,4950,5,24M,3,Honors Independent Research,MWF,12:40 pm-01:35 pm,15,3,12,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12924,UH,4950,6,24M,3,Honors Independent Research,MWF,01:50 pm-02:45 pm,15,2,13,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,14048,UH,4950,7,24M,3,Honors Independent Research,MW,12:40 pm-02:05 pm,15,1,14,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12590,UH,4950,9,24M,3,Honors Independent Research,TR,08:00 am-09:25 am,15,2,13,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,14049,UH,4950,10,24M,3,Honors Independent Research,TR,09:40 am-11:05 am,15,5,10,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12591,UH,4950,11,24M,3,Honors Independent Research,TR,11:20 am-12:45 pm,15,4,11,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
NR,12592,UH,4950,12,24M,3,Honors Independent Research,TR,01:00 pm-02:25 pm,15,3,12,0,0,0,John R Vile (P),01/17-05/04,TBA TBA,University Honors and Credit from 4-Year College and Upper-Division Work
