Sections Found,,,,,,,,,,,,,,,,,,,
UNIV-University St (MTSU&TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12845,UNIV,1000,1,24M,1,English Language Seminar,,TBA,999,85,914,0,0,0,David A Schmidt (P),01/17-05/04,TBA TBA,Credit from 4-Year College
C,14154,UNIV,1010,7,24M,3,University Seminar,TR,11:20 am-12:45 pm,15,15,0,0,0,0,Ryan L Korstange (P),01/17-05/04,JCH 107,MT Engage and Book Fee Will Be Charged and Credit from 4-Year College
NR,16922,UNIV,1010,D01,24M,3,University Seminar,,TBA,10,4,6,0,0,0,Andrea Hopper Bell (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
C,13140,UNIV,1010,I01,24M,3,University Seminar,MWF,09:10 am-10:05 am,10,11,-1,0,0,0,Ryan L Korstange (P),01/17-05/04,JCH 107,International Students and MT Engage and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K
NR,12613,UNIV,1010,K01,24M,3,University Seminar,MWF,09:10 am-10:05 am,15,12,3,0,0,0,Joycelyn Fuller Gray (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
NR,10534,UNIV,1010,K02,24M,3,University Seminar,MWF,10:20 am-11:15 am,15,11,4,0,0,0,Joycelyn Fuller Gray (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
NR,14156,UNIV,1010,K03,24M,3,University Seminar,MWF,11:30 am-12:25 pm,15,14,1,0,0,0,Joycelyn Fuller Gray (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
C,12700,UNIV,1010,K04,24M,3,University Seminar,TR,09:40 am-11:05 am,15,15,0,0,0,0,Joycelyn Fuller Gray (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
C,12352,UNIV,1010,K05,24M,3,University Seminar,TR,11:20 am-12:45 pm,15,15,0,0,0,0,Joycelyn Fuller Gray (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
NR,13277,UNIV,1010,K07,24M,3,University Seminar,MW,04:10 pm-05:35 pm,15,9,6,0,0,0,Carla Gale Hatfield (P),01/17-05/04,KOM 161,MT Engage and Prescribed Course and Must have Permission to Drop and Book Fee Will Be Charged and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
NR,16921,UNIV,1010,KD1,24M,3,University Seminar,,TBA,15,14,1,0,0,0,Andrea Hopper Bell (P),01/17-05/04,TBA TBA,Distance Learning and Prescribed Course and Must have Permission to Drop and Distance Education Fee-UG and Credit from 4-Year College and Prescribed Course--UNIV 1010K and Prescribed Course-Lrn Strat
NR,14169,UNIV,2020,D01,24M,1,Successful Transitions,,TBA,24,20,4,0,0,0,Ryan L Korstange (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Must have Permission to Drop and Distance Education Fee-UG and Credit from 4-Year College
C,12567,UNIV,3535,R50,11R,3,Family Communication,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,14522,UNIV,3565,R50,11R,3,Comparative Christianity,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,12052,UNIV,3580,R50,11R,3,Hebrew and Greek Legacy,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,12051,UNIV,3581,R50,11R,3,Faith Reason and Imagination,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,13016,UNIV,3713,R50,11R,1,"Freedom, Openness, and the Internet",,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,12050,UNIV,4110,R50,14R,3,(EXL) Internship,,TBA,0,3,-3,0,0,0,"RODP Faculty (P), Rebecca Joyce Richey",01/17-05/03,TBA TBA,Experiential Learning and TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,12049,UNIV,4706,R50,11R,3,Managing Software Development,,TBA,0,12,-12,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,13744,UNIV,4708,R50,11R,3,Introduction to Business Intelligence,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
