Sections Found,,,,,,,,,,,,,,,,,,,
VCOM-Visual Communication,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13510,VCOM,2010,2,24M,3,Introduction to Visual Communication,TR,11:20 am-12:45 pm,77,63,14,0,0,0,Sanjay Asthana (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and Credit from 4-Year College
NR,13194,VCOM,2950,1,24M,3,Visual Communication Applications,MW,04:10 pm-05:35 pm,18,17,1,0,0,0,Bobby Franklin Dowd (P),01/17-05/04,BRAGG 228,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
NR,13203,VCOM,2950,2,24M,3,Visual Communication Applications,TR,11:20 am-12:45 pm,16,15,1,0,0,0,Philip Abelard Loubere (P),01/17-05/04,BRAGG 270,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,13512,VCOM,2950,3,24M,3,Visual Communication Applications,TR,01:00 pm-02:25 pm,16,16,0,0,0,0,Philip Abelard Loubere (P),01/17-05/04,BRAGG 270,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,16588,VCOM,2950,4,24M,3,Visual Communication Applications,MW,12:40 pm-02:05 pm,18,18,0,0,0,0,Leslie Gail Haines (P),01/17-05/04,BRAGG 228,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
NR,17540,VCOM,2950,5,24M,3,Visual Communication Applications,MW,06:00 pm-07:25 pm,18,14,4,0,0,0,Bobby Franklin Dowd (P),01/17-05/04,BRAGG 228,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,13192,VCOM,3810,1,24M,3,History of Visual Communication,TR,02:40 pm-04:05 pm,20,20,0,0,0,0,Sanjay Asthana (P),01/17-05/04,BRAGG 151,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16380,VCOM,3920,1,24M,3,Information Web Design,TR,04:20 pm-05:45 pm,16,12,4,0,0,0,Philip Abelard Loubere (P),01/17-05/04,BRAGG 270,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16359,VCOM,3930,1,24M,3,Visual Storytelling for Journalism,TR,11:20 am-12:45 pm,18,19,-1,0,0,0,Leslie Gail Haines (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,17117,VCOM,4010,1,24M,3,Information Design,MW,02:20 pm-03:45 pm,4,4,0,16,11,5,Leslie Gail Haines (P),01/17-05/04,BRAGG 228,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13193,VCOM,4180,1,24M,3,Senior Portfolio,MW,02:20 pm-03:45 pm,12,7,5,16,11,5,Leslie Gail Haines (P),01/17-05/04,BRAGG 228,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
