Sections Found,,,,,,,,,,,,,,,,,,,
YOED-Youth Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,14861,YOED,2500,1,24M,3,Planning and Assessment,MW,12:40 pm-02:05 pm,15,15,0,0,0,0,Nadine Elizabeth Harris (P),01/17-05/04,COE 144,Experiential Learning and Credit from 4-Year College
NR,14862,YOED,2500,2,24M,3,Planning and Assessment,MW,02:20 pm-03:45 pm,15,12,3,0,0,0,Nadine Elizabeth Harris (P),01/17-05/04,COE 144,Experiential Learning and Credit from 4-Year College
C,14863,YOED,2500,3,24M,3,Planning and Assessment,T,04:30 pm-07:30 pm,15,15,0,0,0,0,Donald Snead (P),01/17-05/04,COE 146,Credit from 4-Year College
NR,13202,YOED,3000,2,24M,3,Classroom Management,TR,11:20 am-12:45 pm,12,9,3,0,0,0,Charlene Jewell True (P),01/17-05/04,COE 253,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17288,YOED,3000,3,24M,3,Classroom Management,TR,09:40 am-11:05 am,12,10,2,0,0,0,Charlene Jewell True (P),01/17-05/04,COE 253,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15811,YOED,3000,6,24M,3,Classroom Management,M,04:30 pm-07:30 pm,12,10,2,0,0,0,Lawrence J Kernagis (P),01/17-05/04,COE 148,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,12913,YOED,3300,1,24M,3,Problem Based Instructional Strategies,TR,11:20 am-12:45 pm,12,15,-3,0,0,0,Terry M Weeks (P),01/17-05/04,COE 248,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12914,YOED,3300,2,24M,3,Problem Based Instructional Strategies,TR,09:40 am-11:05 am,12,11,1,0,0,0,Terry M Weeks (P),01/17-05/04,COE 248,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13605,YOED,3300,3,24M,3,Problem Based Instructional Strategies,TR,08:00 am-09:25 am,12,10,2,0,0,0,Terry M Weeks (P),01/17-05/04,COE 248,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12713,YOED,3520,1,24M,3,Knowing and Learning in Science and Mathematics,TR,08:00 am-09:25 am,20,10,10,0,0,0,Laura Blackwell Clark (P),01/17-05/04,COE 110,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
